"Reservoir","Site","DateTime","Depth_m","Rep","TP_ugL","TN_ugL","Flag_DateTime","Flag_TP_ugL","Flag_TN_ugL","NO3NO2_ugL","NH4_ugL","SRP_ugL","Flag_NH4_ugL","Flag_SRP_ugL","Flag_NO3NO2_ugL","DIC_mgL","DC_mgL","DOC_mgL","DN_mgL","Flag_DC_mgL","Flag_DIC_mgL","Flag_DOC_mgL","Flag_DN_mgL"
"BVR",50,2022-08-22 12:00:00,3,1,NA,NA,0,0,0,NA,NA,NA,0,0,0,3.3,7.7,4.5,0.35,0,0,0,0
"BVR",50,2022-09-19 12:00:00,6,1,NA,NA,0,0,0,NA,NA,NA,0,0,0,6.3,9.3,3,2.065,0,0,0,0
"BVR",50,2022-10-11 12:00:00,7,1,NA,NA,0,0,0,6,1460,10,0,0,0,5.5,8.5,3,1.87,0,0,0,0
"BVR",50,2023-03-21 10:56:00,0.1,1,20.1,368,0,0,0,66,51,6,0,0,0,3.2,5.3,2,0.293,0,0,0,0
"BVR",50,2023-03-21 11:35:00,3,1,19.5,386,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
"BVR",50,2023-03-21 11:46:00,6,1,16.5,354,0,0,0,67,55,4,0,0,0,2.8,5.5,2.8,0.32,0,0,0,0
"BVR",50,2023-03-21 11:58:00,9,1,19.2,336,0,0,0,67,61,4,0,3,0,2.8,5.5,2.8,0.334,0,0,0,0
"BVR",50,2023-04-12 11:30:00,0.1,1,18.7,220,0,0,0,2,8,6,0,0,3,2.6,5.8,3.2,0.2,0,0,0,0
"BVR",50,2023-04-12 11:48:00,3,1,17.6,218,0,0,0,5,8,4,0,0,0,2.5,5.8,3.3,0.216,0,0,0,0
"BVR",50,2023-04-12 12:06:00,6,1,23.7,321,0,0,0,21,8,5,0,0,0,2.4,5.4,3,0.238,0,0,0,0
"BVR",50,2023-04-12 12:23:00,9,1,22.5,461,0,0,0,56,172,3,0,3,0,2.7,5.7,3,0.42,0,0,0,0
"BVR",50,2023-04-24 10:16:00,0.1,1,16.8,281,0,0,0,2,6,3,0,3,3,2.7,5.9,3.2,0.199,0,0,0,0
"BVR",50,2023-04-24 10:30:00,3,1,19.5,217,0,0,0,3,8,4,0,0,3,2.4,5.7,3.3,0.227,0,0,0,0
"BVR",50,2023-04-24 10:46:00,6,1,20.1,263,0,0,0,2,7,5,0,0,3,2.4,5.5,3,0.21,0,0,0,0
"BVR",50,2023-04-24 10:55:00,9,1,20.8,401,0,0,0,40,82,4,0,0,0,2.6,5.3,2.6,0.306,0,0,0,0
"BVR",50,2023-05-01 10:22:00,0.1,1,24.3,272,0,0,0,1,4,3,3,3,3,2.5,5.4,2.9,0.217,0,0,0,0
"BVR",50,2023-05-01 10:44:00,3,1,22,257,0,0,0,5,8,2,0,3,0,2.5,5.7,3.2,0.227,0,0,0,0
"BVR",50,2023-05-01 11:09:00,6,1,26.7,307,0,0,0,4,16,4,0,0,3,2.5,5.3,2.9,0.225,0,0,0,0
"BVR",50,2023-05-01 11:24:00,9,1,23.6,284,0,0,0,17,37,4,0,3,0,2.8,5.5,2.7,0.255,0,0,0,0
"BVR",50,2023-05-08 10:44:00,0.1,1,16.4,248,0,0,0,3,5,3,0,3,3,NA,NA,NA,NA,0,0,0,0
"BVR",50,2023-05-08 11:05:00,3,1,15.9,213,0,0,0,2,8,3,0,3,3,2.5,5.6,3.1,0.211,0,0,0,0
"BVR",50,2023-05-08 11:15:00,6,1,21.5,266,0,0,0,3,10,3,0,3,3,2.7,5.5,2.8,0.192,0,0,0,0
"BVR",50,2023-05-08 11:25:00,9,1,25.6,470,0,0,0,3,205,3,0,3,3,3.4,5.6,2.2,0.334,0,0,0,0
"BVR",50,2023-05-22 10:20:00,0.1,1,17.4,182,0,0,0,0,4,3,3,3,3,2.6,5.8,3.1,0.22,0,0,0,0
"BVR",50,2023-05-22 10:30:00,3,1,13,240,0,0,0,3,13,4,0,3,3,2.7,5.9,3.2,0.24,0,0,0,0
"BVR",50,2023-05-22 10:42:00,6,1,18.7,272,0,0,0,0,10,5,0,0,43,3.2,5.8,2.6,0.23,0,0,0,0
"BVR",50,2023-05-22 10:55:00,9,1,25.9,715,0,0,0,2,439,6,0,0,3,3.7,6.4,2.7,0.52,0,0,0,0
"BVR",50,2023-05-29 10:14:00,0.1,1,16.5,250,0,0,0,3,10,6,0,0,3,3.6,7.4,3.8,0.3,0,0,0,0
"BVR",50,2023-05-29 10:21:00,3,1,14,211,0,0,0,3,12,4,0,0,3,2.8,6.2,3.4,0.255,0,0,0,0
"BVR",50,2023-05-29 10:28:00,6,1,15.2,209,0,0,0,3,11,3,0,3,3,2.8,5.9,3.1,0.227,0,0,0,0
"BVR",50,2023-05-29 10:35:00,9,1,29.8,836,0,0,0,0,581,8,0,0,3,4.4,7.2,2.8,0.784,0,0,0,0
"BVR",50,2023-06-05 12:00:00,0.1,1,12.4,233,1,0,0,5,9,3,0,3,0,3,5.8,2.9,0.21,0,0,0,0
"BVR",50,2023-06-05 12:00:00,3,1,15.3,231,1,0,0,4,15,4,0,3,0,2.9,5.8,2.9,0.25,0,0,0,0
"BVR",50,2023-06-05 12:00:00,6,1,17.8,231,1,0,0,4,13,1,0,3,3,3,6.1,3.1,0.24,0,0,0,0
"BVR",50,2023-06-05 12:00:00,9,1,31.3,868,1,0,0,3,671,16,0,0,3,4.4,7.4,3,0.73,0,0,0,0
"BVR",50,2023-06-14 10:48:00,0.1,1,14.8,220,0,0,0,3,7,0,0,3,3,3.2,6.4,3.2,0.22,0,0,0,0
"BVR",50,2023-06-14 10:54:00,3,1,13.9,217,0,0,0,3,9,3,0,3,3,3.1,6.1,3,0.23,0,0,0,0
"BVR",50,2023-06-14 11:04:00,6,1,20.4,232,0,0,0,4,876,28,0,0,3,4.2,7.1,2.9,0.954,0,0,0,0
"BVR",50,2023-06-14 11:14:00,9,1,26.8,630,0,0,0,3,7,3,0,3,3,3.3,6,2.7,0.2,0,0,0,0
"BVR",50,2023-06-19 10:08:00,0.1,1,13.9,297,0,0,0,4,7,2,0,3,3,2.7,5.6,2.9,0.2,0,0,0,0
"BVR",50,2023-06-19 10:13:00,3,1,15.4,214,0,0,0,1,10,2,0,3,3,2.6,5.5,2.8,0.201,0,0,0,0
"BVR",50,2023-06-19 10:18:00,6,1,18.4,235,0,0,0,4,11,3,0,3,3,3.1,6.1,2.9,0.212,0,0,0,0
"BVR",50,2023-06-19 10:25:00,9,1,36.6,1060,0,0,0,5,710,12,0,0,0,4.4,7.5,3.1,0.81,0,0,0,0
"BVR",50,2023-06-26 09:45:00,0.1,1,15.7,229,0,0,0,1,4,4,3,3,3,2.9,6,3.1,0.217,0,0,0,0
"BVR",50,2023-06-26 09:54:00,3,1,14.3,204,0,0,0,2,9,3,0,3,3,3.1,6.2,3.1,0.221,0,0,0,0
"BVR",50,2023-06-26 10:08:00,6,1,14.5,157,0,0,0,1,6,4,0,3,3,3.2,5.8,2.6,0.203,0,0,0,0
