attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir; FCR = Falling Creek Reservoir	categorical			NA	value is missing
Site	Sampling site within each reservoir; 50 = Deep hole or site nearest to dam in the reservoir, attached to the catwalk	numeric	dimensionless		NA	value is missing
DateTime	Date and time of sampling. All data were collected in the eastern standard time zone of the U.S.A., with daylight savings time not observed, GMT -5	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
ThermistorTemp_C_surface	Water temperature at the surface as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_1	Water temperature at 1 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_2	Water temperature at 2 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_3	Water temperature at 3 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_4	Water temperature at 4 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_5	Water temperature at 5 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_6	Water temperature at 6 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_7	Water temperature at 7 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_8	Water temperature at 8 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
ThermistorTemp_C_9	Water temperature at 9 meter depth as measured by the thermistor	numeric	celsius		NA	value is missing
RDO_mgL_5	Dissolved Oxygen (DO) concentration at 5 meter depth as measured by the RDO Sensor	numeric	milligramsPerLiter		NA	value is missing
RDOsat_percent_5	Dissolved Oxygen (DO) percent saturation at 5 meter depth as measured by the RDO Sensor	numeric	dimensionless		NA	value is missing
RDO_mgL_5_adjusted	One period in summer 2019 appears to have had extensive fouling on the 5 meter oxygen sonde, as evidenced by inexplicably low oxygen readings. We adjusted these values using linear or square root functions to best match simultaneous readings from a high-resolution CTD profile. This column gives the adjusted values. Added in the 2019 revision. Values not adjusted are the same as values from RDO_mgL_5. 	numeric	milligramsPerLiter		NA	value is missing
RDOsat_percent_5_adjusted	One period in summer 2019 appears to have had extensive fouling on the 5 meter oxygen sonde, as evidenced by inexplicably low oxygen readings. We adjusted these values using linear or square root functions to best match simultaneous readings from a high-resolution CTD profiler. This column gives the adjusted values. Added in the 2019 revision. Values not adjusted are the same as values from RDOsat_percent_5.	numeric	dimensionless		NA	value is missing
