ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Nov,[Note:  4 samples had solids in the bottom so I didn't run those],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2020 - 1,0.5,"2,482.3",926.7,32.4,"6,962.2",13.9,1.1,0.5,"1,148.5","2,045.3",1.2,0.3,0.1,444.5,23.8,0.1,0.1,0.8,-0.1,0.1,0.3,13.1,0.0,0.0,0.0,0.2,18.2,0.2,0.0
09/02/2020 - 2,0.5,"2,510.8",914.8,20.6,"6,916.4",1.8,1.0,0.3,"1,146.2","2,017.0",0.8,0.2,0.1,192.1,8.2,0.1,0.2,1.3,9.1,0.1,0.3,13.0,0.0,0.0,0.0,0.1,19.7,0.2,0.0
09/02/2020 - 3,0.4,"2,490.7",936.1,37.5,"6,968.9",18.6,1.1,0.2,"1,160.6","2,090.0",1.2,0.3,0.1,480.4,27.5,0.1,0.1,0.9,0.2,0.1,0.4,13.3,0.0,0.0,0.0,0.1,20.1,0.2,0.0
09/02/2020 - 4,0.4,"2,520.2",937.6,20.6,"7,077.4",1.3,1.1,0.2,"1,173.1","2,099.2",0.8,0.2,0.1,196.7,8.9,0.1,0.2,1.0,16.0,0.1,0.4,13.6,0.0,0.0,0.0,0.0,20.4,0.2,0.0
09/02/2020 - 5,0.4,"2,552.3","1,072.8",27.7,"7,289.4",24.1,1.2,0.4,"1,325.7","2,756.1",1.1,0.2,0.1,"1,371.2",787.7,1.7,0.2,0.7,0.6,0.1,0.4,18.0,0.0,0.0,0.0,0.1,47.9,0.2,0.0
09/02/2020 - 6,0.4,"2,564.6","1,062.0",11.9,"7,207.4",-0.5,1.1,0.4,"1,308.1","2,716.2",0.7,0.1,0.1,302.1,801.3,1.7,0.1,0.4,15.3,0.1,0.4,18.0,0.0,0.0,0.0,0.0,51.4,0.2,0.0
09/02/2020 - 7,0.3,"2,717.8","1,174.8",19.1,"7,990.8",20.2,0.9,0.3,"1,233.5","3,164.7",1.0,0.1,0.1,"3,420.8","1,291.6",2.9,0.2,0.5,1.0,0.2,0.5,20.7,0.0,0.0,0.0,0.0,45.5,0.1,0.0
09/02/2020 - 8,0.4,"2,690.1","1,154.2",12.6,"7,787.9",-1.1,1.0,0.3,"1,255.7","3,108.7",0.7,0.0,0.1,"1,345.5","1,213.1",2.7,0.2,0.3,25.0,0.1,0.4,20.3,0.0,0.0,0.0,0.0,47.6,0.1,0.0
