ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/24/2023 - 1,0.4,"3,327.9","1,165.7",18.8,"9,167.0",15.9,1.2,-0.5,"1,068.7","2,520.6",2.0,0.2,0.1,677.3,24.5,0.2,0.1,1.3,2.2,0.2,0.9,16.4,1.0,0.0,0.0,0.1,18.2,0.1,0.1
07/24/2023 - 2,0.4,"3,669.1","1,191.0",9.9,"9,187.6",2.1,0.8,-0.4,"1,114.1","2,582.4",1.4,0.1,0.1,471.4,18.1,0.1,0.2,1.0,4.2,0.1,0.5,16.6,0.4,0.0,0.0,0.0,16.7,0.1,0.0
07/24/2023 - 3,0.4,"3,301.3","1,154.2",18.1,"9,166.3",17.6,0.8,-0.5,"1,066.8","2,524.0",1.6,0.2,0.1,673.3,21.5,0.2,0.1,1.4,2.2,0.1,0.4,16.3,0.4,0.0,0.0,0.0,18.3,0.1,0.0
07/24/2023 - 4,0.4,"3,902.6","1,198.1",8.9,"9,192.7",2.0,0.6,-0.4,970.9,"2,618.9",1.3,0.1,0.1,434.0,12.1,0.1,0.1,1.3,2.3,0.1,0.3,16.5,0.3,0.0,0.0,0.0,15.2,0.1,0.0
07/24/2023 - 5,0.4,"3,340.6","1,229.7",9.3,"9,200.2",28.1,0.7,-0.2,"1,191.0","2,956.4",1.4,0.0,0.0,"1,058.7",791.6,1.4,0.1,1.3,2.5,0.1,0.2,19.5,0.2,0.0,0.0,0.0,43.2,0.1,0.0
07/24/2023 - 6,0.4,"3,717.1","1,237.0",3.7,"9,136.2",0.4,0.7,-0.2,"1,195.0","3,034.8",1.1,-0.1,0.0,181.2,702.8,1.2,0.1,0.5,1.8,0.0,0.1,19.5,0.1,0.0,0.0,0.0,37.0,0.0,0.0
07/24/2023 - 7,0.4,"3,284.8","1,227.3",8.0,"9,225.1",19.8,1.0,-0.3,"1,143.8","2,986.2",1.3,0.0,0.0,"1,587.1",424.6,0.7,0.1,1.3,3.0,0.1,0.2,19.5,0.2,0.0,0.0,0.0,39.0,0.1,0.0
07/24/2023 - 8,0.4,"3,765.7","1,238.1",2.6,"9,140.2",-0.6,0.8,-0.2,"1,127.8","3,053.0",1.1,-0.1,0.0,278.8,414.3,0.6,0.1,0.6,2.8,0.0,0.1,19.6,0.0,0.0,0.0,0.0,34.2,0.1,0.0
