ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2023 - 1,0.6,"3,246.0","1,144.4",5.9,"7,780.3",29.8,0.4,0.5,"1,217.1","2,748.4",1.6,0.1,0.1,369.9,56.4,0.2,0.2,1.0,3.9,-0.1,-0.9,18.1,0.0,0.1,0.1,25.1,0.1,0.1
09/26/2023 - 2,0.5,"4,029.9","1,178.7",3.2,"7,858.1",5.0,0.5,0.6,"1,128.3","2,871.0",1.0,0.0,0.1,136.1,14.1,0.1,0.4,1.2,3.6,-0.2,-1.3,17.7,0.0,0.0,0.1,15.5,0.1,0.1
09/26/2023 - 3,0.5,"3,213.5","1,154.6",5.2,"7,857.7",33.1,0.5,0.4,"1,234.7","2,788.6",0.9,0.1,0.1,387.3,53.8,0.2,0.2,1.0,3.7,-0.2,-1.6,18.1,0.0,0.0,0.0,25.6,0.1,0.1
09/26/2023 - 4,0.5,"4,034.9","1,215.3",5.3,"7,967.1",5.0,0.6,0.5,"1,110.8","2,930.5",0.9,0.0,0.1,138.4,4.8,0.1,0.2,0.8,3.9,-0.2,-1.5,18.2,0.0,0.0,0.0,15.9,6.1,0.1
09/26/2023 - 5,0.5,"3,281.4","1,177.4",5.8,"8,157.4",23.1,0.5,0.3,"1,260.7","2,832.4",0.7,0.1,0.1,500.5,113.5,0.3,0.2,0.8,3.1,-0.3,-1.7,18.6,0.0,0.0,0.0,29.5,0.1,0.0
09/26/2023 - 6,0.5,"3,960.4","1,225.4",2.6,"8,170.3",2.8,0.8,0.4,"1,150.8","2,994.6",0.5,0.0,0.1,129.9,4.3,0.1,0.2,0.5,2.9,-0.3,-1.9,18.7,0.0,0.0,0.0,18.8,0.1,0.0
09/26/2023 - 7,0.4,"3,148.9","1,272.7",4.1,"8,862.4",24.3,0.6,0.4,"1,246.9","3,382.3",0.5,0.0,0.1,"1,260.2",976.6,1.9,0.2,0.6,3.4,-0.4,-2.1,22.2,0.0,0.0,0.0,59.1,0.1,0.0
09/26/2023 - 8,0.4,"3,609.4","1,290.0",1.7,"8,791.6",1.4,0.6,0.3,"1,264.0","3,463.2",0.4,-0.1,0.1,131.2,"1,004.5",1.9,0.2,0.5,3.4,-0.4,-1.9,22.3,0.0,0.0,0.0,51.8,0.1,0.0
09/26/2023 - 9,0.4,"3,048.1","1,278.7",4.4,"8,869.0",14.1,0.6,0.2,"1,205.0","3,446.6",0.5,0.0,0.2,"2,355.9","1,149.5",2.4,0.3,0.7,4.0,-0.4,-2.2,22.6,0.0,0.0,0.0,62.7,0.2,0.0
09/26/2023 - 10,0.4,"3,521.6","1,339.1",1.9,"8,916.3",0.6,0.6,0.3,"1,247.4","3,581.8",0.3,-0.1,0.1,59.9,"1,228.0",2.6,0.3,0.4,4.4,-0.4,-2.2,23.3,0.0,0.0,0.0,59.0,0.1,0.0
09/26/2023 - 11,0.4,"3,137.1","1,326.8",4.2,"9,117.4",13.1,0.5,0.3,"1,219.9","3,532.7",0.6,0.0,0.1,"2,422.9","1,203.7",2.5,0.3,0.7,3.7,-0.4,-1.9,23.2,0.0,0.0,0.1,65.9,0.1,0.1
09/26/2023 - 12,0.4,"3,585.5","1,333.0",1.8,"8,882.6",0.6,0.5,0.3,"1,230.2","3,594.1",0.4,-0.1,0.1,63.6,"1,257.6",2.6,0.3,0.4,3.1,-0.4,-2.3,23.1,0.0,0.0,0.0,59.0,0.1,0.0
09/26/2023 - 13,0.4,"3,053.6","1,310.3",3.2,"9,030.8",12.9,0.5,0.2,"1,195.6","3,467.9",0.3,0.0,0.1,"2,519.6","1,207.2",2.6,0.3,0.6,3.5,-0.4,-2.2,22.9,0.0,0.0,0.0,65.8,0.1,0.0
