ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2023 - 1,0.5,"3,630.8","1,302.6",5.2,"8,106.2",23.2,1.9,0.3,"1,368.8","3,046.0",0.7,0.0,0.1,359.8,178.9,0.3,0.1,1.0,1.8,0.2,-1.7,20.3,0.0,0.0,0.1,32.2,0.1,0.1
10/17/2023 - 2,0.5,"3,954.1","1,273.7",3.0,"7,731.3",5.2,2.3,0.6,"1,505.6","3,011.9",0.1,-0.1,0.0,65.7,125.6,0.2,0.1,0.8,1.5,0.1,-2.7,19.7,0.0,0.0,3.1,26.1,0.5,0.0
10/17/2023 - 3,0.5,"3,508.3","1,263.8",4.6,"7,900.0",23.0,2.1,0.3,"1,311.1","2,939.7",0.2,0.0,0.0,362.8,173.7,0.3,0.1,0.9,0.4,0.1,-2.4,19.6,0.0,0.0,1.9,31.1,0.1,0.0
10/17/2023 - 4,0.5,"3,825.6","1,282.6",2.5,"7,851.8",4.9,1.8,0.3,"1,369.8","3,111.5",0.1,-0.1,0.0,77.3,136.7,0.2,0.3,0.8,0.5,0.1,-2.3,19.7,0.0,0.0,1.3,31.1,0.1,0.0
10/17/2023 - 6,0.5,"3,856.0","1,298.2",2.1,"8,002.5",3.4,1.5,0.3,"1,346.5","3,063.3",0.1,-0.1,0.1,84.7,136.3,0.2,0.1,0.5,1.3,0.1,-2.6,19.8,0.0,0.0,0.9,25.6,0.0,0.0
10/17/2023 - 7,0.4,"3,530.5","1,272.9",4.8,"8,028.6",24.6,1.4,0.2,"1,328.8","3,008.0",0.1,-0.1,0.0,364.8,179.5,0.4,0.0,0.8,-0.4,0.1,-2.3,19.9,0.0,0.0,0.7,31.3,0.0,0.0
10/17/2023 - 8,0.4,"3,817.5","1,282.2",2.1,"7,883.5",3.0,1.3,0.2,"1,320.5","3,032.2",0.0,-0.1,0.0,77.9,137.2,0.2,0.0,0.4,-0.6,0.1,-2.5,19.4,0.0,0.0,0.6,26.1,0.0,0.0
10/17/2023 - 9,0.4,"3,225.6","1,352.3",4.0,"9,127.2",16.3,1.4,0.1,"1,266.7","3,572.8",0.1,-0.1,0.0,"1,718.8","1,225.9",2.8,0.1,0.6,0.2,0.1,-2.7,23.6,0.0,0.0,0.6,67.3,0.0,0.0
10/17/2023 - 10,0.4,"3,577.7","1,367.7",1.3,"8,841.3",0.4,1.2,0.1,"1,307.0","3,582.7",0.0,-0.1,0.1,70.8,"1,139.8",2.5,0.2,0.3,1.4,0.1,-2.4,23.4,0.0,0.0,0.4,60.4,0.0,0.0
10/17/2023 - 11,0.4,"3,274.8","1,346.5",4.1,"8,927.5",16.3,1.1,0.1,"1,264.6","3,505.5",0.1,-0.1,0.0,"1,645.4","1,116.3",2.5,0.1,0.6,0.5,0.1,-2.4,23.2,0.0,0.0,0.5,64.2,0.0,0.0
10/17/2023 - 12,0.4,"3,532.4","1,361.6",0.9,"9,003.1",-0.2,1.1,0.1,"1,313.2","3,641.6",0.2,-0.1,0.0,10.8,"1,228.6",2.7,0.1,0.2,0.7,0.1,-2.3,23.8,0.0,0.0,0.2,64.2,0.0,0.1
10/17/2023 - 13,0.4,"3,247.5","1,362.3",3.8,"9,065.8",16.9,1.0,0.1,"1,257.9","3,568.9",0.2,-0.1,0.0,"1,734.8","1,233.4",2.8,0.1,0.6,0.3,0.1,-2.5,23.7,0.0,0.0,0.3,68.5,0.0,0.0
10/17/2023 - 14,0.4,"3,604.9","1,398.2",2.5,"9,209.1",0.7,1.1,0.2,"1,322.5","3,716.1",0.1,-0.1,0.1,66.7,"1,328.0",2.9,0.2,0.3,-0.2,0.1,-2.7,24.2,0.0,0.0,0.2,67.5,0.0,0.0
