ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 1,0.3,"2,678.8","1,037.2",18.4,"7,933.1",10.4,0.6,0.6,"1,347.9","2,450.7",0.9,0.2,0.1,330.2,69.1,0.1,0.0,0.4,0.7,0.1,0.2,15.7,-0.2,0.0,0.0,0.4,22.2,0.1,0.0
Nick 2,0.3,"2,682.8","1,021.5",32.1,"7,895.8",3.0,0.3,0.6,"1,306.8","2,400.4",1.1,0.2,0.1,128.5,17.2,0.0,0.0,0.6,10.1,0.1,0.2,15.4,-0.3,0.0,0.0,0.0,20.3,0.1,0.0
Nick 3,0.3,"2,648.2","1,030.3",17.8,"7,774.5",7.2,0.1,0.6,"1,318.7","2,416.1",0.7,0.2,0.1,322.0,59.5,0.1,0.0,0.4,-5.0,0.1,0.1,15.6,-0.3,0.0,0.0,-0.1,21.7,0.1,0.0
Nick 4,0.3,"2,651.3","1,009.0",12.1,"7,797.7",-4.0,0.0,0.6,"1,269.1","2,353.2",-3.7,0.2,0.1,79.5,15.5,0.0,0.0,0.3,18.0,0.1,0.0,15.3,-0.3,0.0,0.0,-0.2,20.2,0.1,0.0
Nick 5,0.3,"2,702.5","1,050.2",18.9,"7,994.0",7.2,0.0,0.5,"1,335.7","2,461.0",0.8,0.2,0.1,335.9,65.3,0.1,0.0,0.4,-6.3,0.1,0.0,15.9,-0.3,0.0,0.0,-0.2,22.0,0.1,0.0
Nick 6,0.3,"2,657.1","1,004.9",24.4,"7,691.1",-2.2,-0.1,0.5,"1,253.9","2,346.1",0.6,0.1,0.1,103.2,22.9,0.0,0.0,0.3,17.9,0.1,-0.2,15.4,-0.3,0.0,0.0,-0.2,20.8,0.2,0.0
Nick 7,0.3,"2,689.4","1,093.1",17.1,"8,037.5",8.2,-0.4,0.5,"1,293.6","2,752.9",0.6,0.2,0.1,"2,196.7","1,167.0",2.5,0.0,0.4,-6.4,0.1,-0.1,18.3,-0.3,0.0,0.0,-0.3,50.1,0.1,0.0
Nick 8,0.3,"2,688.6","1,062.9",24.0,"7,973.8",0.5,-0.3,0.5,"1,285.1","2,584.6",0.7,0.1,0.1,791.6,704.6,1.5,0.0,0.1,32.4,0.1,-0.2,17.1,-0.3,0.0,0.0,-0.3,37.1,0.1,0.0
