ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick 1,0.5,"2,608.3",994.6,46.6,"7,671.2",18.6,1.8,0.5,"1,276.8","2,415.4",1.6,0.2,0.2,723.3,139.0,0.1,0.2,1.2,1.5,0.1,-0.2,15.2,0.0,0.2,0.0,0.4,23.2,0.4,0.2
Nick 2,0.4,"2,596.3",986.1,24.0,"7,667.0",3.6,1.4,1.2,"1,308.2","2,403.6",0.8,0.0,0.1,86.8,130.7,0.1,1.9,27.7,40.6,0.0,-0.2,15.4,0.0,0.1,0.1,0.3,27.2,16.7,0.1
Nick 3,0.4,"2,577.7",991.9,47.5,"7,784.0",16.5,1.2,0.3,"1,276.5","2,392.5",1.4,0.1,0.1,714.8,137.8,0.2,0.2,1.2,0.8,0.0,-0.2,15.1,0.0,0.1,0.0,0.2,23.2,0.3,0.1
Nick 4,0.4,"2,569.2",979.7,23.1,"7,712.9",4.3,1.1,0.5,"1,296.4","2,369.8",0.9,0.0,0.1,213.3,123.9,0.2,0.6,3.0,8.4,0.0,-0.2,15.2,0.0,0.1,0.0,0.2,23.5,0.9,0.1
Nick 5,0.3,"2,569.1",995.0,63.2,"7,857.9",18.4,0.9,0.2,"1,277.0","2,380.4",1.9,0.1,0.1,767.9,141.0,0.1,0.2,1.1,0.3,0.0,-0.2,15.4,0.0,0.0,0.0,0.1,23.5,0.2,0.1
Nick 6,0.3,"2,566.5",985.9,24.4,"7,789.1",2.9,0.8,0.2,"1,286.5","2,376.3",0.9,0.0,0.1,136.3,121.8,0.0,0.2,1.0,4.3,0.0,-0.2,15.0,0.0,0.0,0.0,0.1,22.6,0.2,0.1
Nick 7,0.3,"2,623.7",997.9,47.6,"7,866.8",16.9,0.8,0.1,"1,285.4","2,382.3",1.3,0.1,0.2,753.7,142.3,0.0,0.2,1.1,0.3,0.0,-0.2,15.3,0.0,0.0,0.0,0.0,23.6,0.2,0.0
Nick 8,0.3,"2,605.4","1,000.2",22.3,"7,903.2",2.9,0.8,0.1,"1,290.9","2,388.9",0.7,0.0,0.1,172.7,122.4,0.0,0.2,0.9,5.5,0.0,-0.2,15.2,0.0,0.1,0.0,0.4,22.9,0.2,0.1
