ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5,2908.9,963.8,100.7,8833.8,47.3,1.2,1,1060.6,2078.1,-0.3,0.4,0.2,589.6,33.6,0.2,0.2,1.1,4.5,0.1,0,13.6,0.1,0,0,0,11.7,1.1,0
2,0.4,2881.5,880.4,53.5,8699,15,0.7,1.6,1675.5,1872,1.5,0.4,0.2,402.2,12.2,0.2,0.1,1.6,23.3,0.1,0,12.3,1,0,0,0,9.1,1.2,0
3,0.5,2924.3,974.4,63.7,8830,31.6,0.5,1,991.9,2121.9,-0.7,0.4,0.2,556.2,32.8,0.2,0.2,1,9.8,0.1,0,13.8,0,0,0,-0.1,12.6,1.1,0
4,0.4,2956.7,942.7,36.9,8889.4,10.5,0.4,1,1011.7,2019.2,1,0.3,0.2,336.2,6.7,0.1,0.1,0.9,8,0.1,0.1,13.2,0.7,0,0,-0.1,9.6,1,0
5,0.4,2713.7,958.5,25.8,7877.4,20.4,0.7,0.9,835.6,2169.9,0.9,0.1,0.1,378.3,35.1,0.1,0.1,0.9,3.1,0.1,0.2,14.6,0,0,0,-0.1,19.6,1.1,0
6,0.4,2728.3,965.2,17.5,7854,8.3,0.6,0.9,845.1,2174.3,0.7,0.1,0.1,120.3,9.8,0,0.1,0.6,4.4,0.1,0.1,14.5,0.8,0,0,-0.1,18.5,0.9,0
7,0.4,2627.3,963.4,17.4,7478,23,1.1,1,958.1,2251,0.7,0,0.1,641,284.7,0.4,0.2,0.9,2.8,0.1,0.2,14.7,0,0,0,-0.1,47.7,0.9,0
8,0.3,2563.6,945.3,13,7309.3,7.9,0.7,1,941,2216.5,0.6,0,0.1,71.3,262.5,0.4,0.1,0.5,6.4,0,-0.1,14.4,0.8,0,0,-0.1,27.6,1,0
9,0.4,2583.3,947.8,21.1,7622.3,23.9,0.9,1,935.2,2232.6,0.8,0.1,0.2,1829.3,442.3,1,0.2,1.1,4.9,0.1,0.3,15,0.1,0,0,0.3,36.7,1.2,0
10,0.4,2576.5,952.9,13.4,7550.6,7.3,0.4,1,947.2,2245.3,0.6,0,0.1,1200.9,413.6,0.9,0.2,0.4,5.4,0.1,0,14.9,0.6,0,0,0,26.3,0.9,0
