Reservoir,Site,Date,Time,Depth_m,Filter,Fe_mgL,Mn_mgL,count_Fe_mgL,count_Mn_mgL
BVR,50,2014-04-30,NA      ,0.1,S,0.1863,0.015,1,1
BVR,50,2014-04-30,NA      ,0.1,T,0.2142,0.015,1,1
BVR,50,2014-04-30,NA      ,8,S,0.3976,0.0473,1,1
BVR,50,2014-04-30,NA      ,8,T,0.4112,0.0473,1,1
BVR,50,2014-04-30,NA      ,12,S,2.839,0.3925,1,1
BVR,50,2014-04-30,NA      ,12,T,2.839,0.3925,1,1
BVR,50,2014-05-14,NA      ,0.1,S,0.2112,0.0156,1,1
BVR,50,2014-05-14,NA      ,0.1,T,0.2112,0.0156,1,1
BVR,50,2014-05-14,NA      ,4,S,0.1608,0.0086,1,1
BVR,50,2014-05-14,NA      ,4,T,0.1608,0.0086,1,1
BVR,50,2014-05-14,NA      ,8,S,0.143,0.0132,1,1
BVR,50,2014-05-14,NA      ,8,T,0.143,0.0132,1,1
BVR,50,2014-05-14,NA      ,12,S,1.52,0.5162,1,1
BVR,50,2014-05-14,NA      ,12,T,1.52,0.5162,1,1
BVR,50,2014-06-04,NA      ,0.1,S,0.2678,0.0224,1,1
BVR,50,2014-06-04,NA      ,0.1,T,0.2678,0.0224,1,1
BVR,50,2014-06-04,NA      ,4,S,0.234,0.0574,1,1
BVR,50,2014-06-04,NA      ,4,T,0.234,0.0574,1,1
BVR,50,2014-06-04,NA      ,8,S,0.2324,0.1416,1,1
BVR,50,2014-06-04,NA      ,8,T,0.2324,0.1451,1,1
BVR,50,2014-06-04,NA      ,12,S,8.548,1.247,1,1
BVR,50,2014-06-04,NA      ,12,T,8.87,1.296,1,1
BVR,50,2014-06-18,NA      ,0.1,S,0.3314,0.0144,1,1
BVR,50,2014-06-18,NA      ,0.1,T,0.3314,0.0144,1,1
BVR,50,2014-06-18,NA      ,4,S,0.3114,0.0314,1,1
BVR,50,2014-06-18,NA      ,4,T,0.3114,0.0314,1,1
BVR,50,2014-06-18,NA      ,8,S,0.6705,0.3521,1,1
BVR,50,2014-06-18,NA      ,8,T,0.6705,0.3521,1,1
BVR,50,2014-06-18,NA      ,12,S,35.85,2.524,1,1
