sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	4744	10855		6075	6.757	15.791	9.033		0.866	1.00	0	0		0			2024-02-01	15:26:34	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	4878	12848		5961	6.929	18.605	11.677		0.846	1.00	0	0		0			2024-02-01	15:39:05	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	4894	10947		5810	6.949	15.922	8.973		0.819	1.00	0	0		0			2024-02-01	15:50:02	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2083	1023		604	2.013	1.145	0.000		0.000	1.00	0	0		0			2024-02-01	16:07:58	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	511	898		567	0.807	1.039	0.232		0.000	1.00	0	0		0			2024-02-01	16:17:08	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	430	905		523	0.745	1.045	0.300		0.000	1.00	0	0		0			2024-02-01	16:26:40	
7	3		Flush																					2024-02-01	16:32:13	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	86	240		310	0.481	0.482	0.001		0.000	1.00	0	0		0			2024-02-01	16:47:17	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	62	202		324	0.462	0.450	0.000		0.000	1.00	0	0		0			2024-02-01	16:55:20	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	115	206		293	0.503	0.453	0.000		0.000	1.00	0	0		0			2024-02-01	17:04:03	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	708	2312		1244	2.394	5.592	3.198		0.035	1.00	0	0		0			2024-02-01	17:19:57	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1329	2346		1242	3.586	5.664	2.078		0.035	1.00	0	0		0			2024-02-01	17:29:03	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1333	2399		1274	3.593	5.778	2.184		0.043	1.00	0	0		0			2024-02-01	17:38:54	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3789	7084		3537	2.768	5.233	2.465		0.212	1.00	0	0		0			2024-02-01	17:58:18	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3847	7188		3432	2.805	5.307	2.501		0.202	1.00	0	0		0			2024-02-01	18:09:25	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3898	7175		3448	2.838	5.297	2.460		0.204	1.00	0	0		0			2024-02-01	18:20:56	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4689	11448		5668	6.025	14.981	8.956		0.716	1.00	0	0		0			2024-02-01	18:39:28	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5795	11530		5683	7.298	15.085	7.787		0.718	1.00	0	0		0			2024-02-01	18:49:44	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5873	11492		5635	7.388	15.037	7.649		0.711	1.00	0	0		0			2024-02-01	19:00:39	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8239	16526		7794	7.212	15.288	8.076		0.749	1.00	0	0		0			2024-02-01	19:21:26	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8415	16655		7864	7.356	15.405	8.049		0.756	1.00	0	0		0			2024-02-01	19:32:49	
