sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	3794	7347		5830	5.543	10.838	5.295		0.823	1.00	0	0		0			2024-01-30	11:53:16	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	3643	9925		6306	5.349	14.478	9.129		0.906	1.00	0	0		0			2024-01-30	12:14:28	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	3818	9978		6396	5.573	14.552	8.979		0.922	1.00	0	0		0			2024-01-30	12:25:06	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	1676	882		709	1.700	1.025	0.000		0.000	1.00	0	0		0			2024-01-30	12:42:23	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	326	847		700	0.665	0.996	0.332		0.000	1.00	0	0		0			2024-01-30	12:51:16	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	346	855		617	0.681	1.002	0.322		0.000	1.00	0	0		0			2024-01-30	13:00:51	
7	3		Flush																					2024-01-30	13:06:29	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	71	202		372	0.470	0.449	0.000		0.000	1.00	0	0		0			2024-01-30	13:21:26	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	87	213		358	0.482	0.459	0.000		0.000	1.00	0	0		0			2024-01-30	13:29:29	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	68	196		333	0.467	0.444	0.000		0.000	1.00	0	0		0			2024-01-30	13:38:18	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	127	1341		1374	1.281	3.536	2.255		0.069	1.00	0	0		0			2024-01-30	13:53:27	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	163	1372		1349	1.350	3.603	2.252		0.063	1.00	0	0		0			2024-01-30	14:01:55	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	181	1374		1266	1.385	3.606	2.222		0.041	1.00	0	0		0			2024-01-30	14:11:08	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	1772	5720		3727	1.478	4.271	2.792		0.228	1.00	0	0		0			2024-01-30	14:29:00	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	2142	5751		3740	1.715	4.292	2.577		0.229	1.00	0	0		0			2024-01-30	14:39:21	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	2213	6043		3799	1.760	4.499	2.738		0.234	1.00	0	0		0			2024-01-30	14:50:22	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4248	11144		5620	5.516	14.594	9.078		0.708	1.00	0	0		0			2024-01-30	15:09:13	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5476	11241		5712	6.931	14.717	7.786		0.723	1.00	0	0		0			2024-01-30	15:19:26	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5551	11223		5652	7.017	14.694	7.677		0.713	1.00	0	0		0			2024-01-30	15:30:25	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8021	16270		8133	7.033	15.056	8.023		0.787	1.00	0	0		0			2024-01-30	15:50:42	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8137	16539		8107	7.128	15.300	8.171		0.784	1.00	0	0		0			2024-01-30	16:02:15	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8213	16515		7995	7.190	15.278	8.088		0.771	1.00	0	0		0			2024-01-30	16:14:25	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10236	20609		10331	6.890	14.782	7.892		0.804	1.00	0	0		0			2024-01-30	16:35:52	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10272	20549		10146	6.913	14.739	7.827		0.788	1.00	0	0		0			2024-01-30	16:47:51	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10741	20663		10158	7.213	14.820	7.608		0.789	1.00	0	0		0			2024-01-30	17:01:06	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	2662	8204		5997	4.095	12.048	7.953		0.852	1.00	0	0		0			2024-01-30	17:19:53	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	1541	8211		6044	2.662	12.059	9.396		0.860	1.00	0	0		0			2024-01-30	17:29:46	
