sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	4699	12246		5242	6.700	17.755	11.055		0.720	1.00	0	0		0			2023-10-24	14:15:50	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	6758	12343		5241	9.332	17.892	8.560		0.720	1.00	0	0		0			2023-10-24	14:26:07	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	7048	12470		5309	9.703	18.071	8.368		0.732	1.00	0	0		0			2023-10-24	14:37:04	
4	3	Rinse	TIC			0.500		3141				2.825					1.00		0					2023-10-24	14:48:00	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	435	459		541	0.749	0.668	0.000		0.000	1.00	0	0		0			2023-10-24	15:04:10	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	193	409		519	0.563	0.625	0.063		0.000	1.00	0	0		0			2023-10-24	15:13:36	
7	3		Flush																					2023-10-24	15:19:00	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	47	252		403	0.451	0.492	0.041		0.000	1.00	0	0		0			2023-10-24	15:34:01	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	63	235		368	0.463	0.477	0.014		0.000	1.00	0	0		0			2023-10-24	15:42:24	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	67	201		386	0.466	0.449	0.000		0.000	1.00	0	0		0			2023-10-24	15:51:20	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	587	2031		1198	2.162	4.998	2.836		0.023	1.00	0	0		0			2023-10-24	16:07:06	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1204	2103		1202	3.347	5.150	1.803		0.024	1.00	0	0		0			2023-10-24	16:16:13	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1192	2126		1214	3.323	5.198	1.876		0.027	1.00	0	0		0			2023-10-24	16:25:49	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3745	7024		3305	2.740	5.191	2.451		0.191	1.00	0	0		0			2023-10-24	16:44:45	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3719	7124		3262	2.723	5.261	2.538		0.188	1.00	0	0		0			2023-10-24	16:55:25	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3869	7264		3324	2.820	5.360	2.541		0.193	1.00	0	0		0			2023-10-24	17:06:50	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4756	11031		5496	6.101	14.450	8.349		0.689	1.00	0	0		0			2023-10-24	17:24:42	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5871	11163		5580	7.386	14.618	7.232		0.702	1.00	0	0		0			2023-10-24	17:35:04	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5825	11066		5533	7.333	14.495	7.162		0.695	1.00	0	0		0			2023-10-24	17:46:11	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8420	16257		7663	7.360	15.044	7.684		0.734	1.00	0	0		0			2023-10-24	18:06:05	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8514	16363		7555	7.437	15.140	7.703		0.722	1.00	0	0		0			2023-10-24	18:17:14	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8621	16411		7620	7.525	15.184	7.658		0.729	1.00	0	0		0			2023-10-24	18:29:13	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10650	20821		9526	7.154	14.932	7.778		0.734	1.00	0	0		0			2023-10-24	18:50:11	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11096	20972		9439	7.439	15.038	7.599		0.726	1.00	0	0		0			2023-10-24	19:02:15	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10953	20929		9452	7.348	15.008	7.660		0.727	1.00	0	0		0			2023-10-24	19:14:35	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5819	11940		5036	8.132	17.324	9.191		0.685	1.00	0	0		0			2023-10-24	19:33:41	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	6101	11991		5024	8.492	17.395	8.903		0.682	1.00	0	0		0			2023-10-24	19:44:10	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	6116	12022		5074	8.512	17.439	8.927		0.691	1.00	0	0		0			2023-10-24	19:55:17	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	5301	7311		2869	4.482	6.472	1.990		0.184	1.00	0	0		0			2023-10-24	20:14:24	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3980	7254		2934	3.468	6.424	2.956		0.191	1.00	0	0		0			2023-10-24	20:24:41	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	4053	7240		2901	3.524	6.412	2.888		0.187	1.00	0	0		0			2023-10-24	20:35:49	
32	3		Flush																					2023-10-24	20:41:37	
33	9	B50 21MAR23 6	TIC/TC/TNb			0.500	0.500	2240	5172		2726	2.133	4.661	2.527		0.169	1.00	0	0		0			2023-10-24	20:59:39	
34	9	B50 21MAR23 6	TIC/TC/TNb			0.500	0.500	2692	5183		2748	2.480	4.669	2.189		0.171	1.00	0	0		0			2023-10-24	21:09:30	
35	9	B50 21MAR23 6	TIC/TC/TNb			0.500	0.500	2818	5123		2707	2.576	4.618	2.042		0.167	1.00	0	0		0			2023-10-24	21:20:13	
36	10	B50 22AUG22 3	TIC/TC/TNb			0.500	0.500	3056	7318		2985	2.760	6.479	3.719		0.196	1.00	0	0		0			2023-10-24	21:38:27	
37	10	B50 22AUG22 3	TIC/TC/TNb			0.500	0.500	3258	7277		3042	2.914	6.443	3.529		0.202	1.00	0	0		0			2023-10-24	21:48:33	
38	10	B50 22AUG22 3	TIC/TC/TNb			0.500	0.500	3311	7294		2960	2.955	6.458	3.502		0.194	1.00	0	0		0			2023-10-24	21:59:22	
39	11	F50 24JUL23 8	TIC/TC/TNb			0.500	0.500	4689	6751		6189	4.012	5.998	1.986		0.531	1.00	0	0		0			2023-10-24	22:17:57	
40	11	F50 24JUL23 8	TIC/TC/TNb			0.500	0.500	5271	6827		6192	4.459	6.062	1.604		0.532	1.00	0	0		0			2023-10-24	22:28:18	
41	11	F50 24JUL23 8	TIC/TC/TNb			0.500	0.500	5283	6793		6101	4.468	6.033	1.565		0.522	1.00	0	0		0			2023-10-24	22:39:21	
42	12	B50 11OCT22 7	TIC/TC/TNb			0.500	0.500	5429	7929		15387	4.580	6.996	2.417		1.493	1.00	0	0		0			2023-10-24	22:58:04	
