sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	2996	10799		7282	4.522	15.712	11.190		1.076	1.00	0	0		0			2024-01-26	15:10:07	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	4673	11095		7430	6.666	16.129	9.463		1.102	1.00	0	0		0			2024-01-26	15:19:53	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	4784	11046		7365	6.808	16.061	9.253		1.090	1.00	0	0		0			2024-01-26	15:30:09	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2147	1401		547	2.062	1.465	0.000		0.000	1.00	0	0		0			2024-01-26	15:47:29	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	591	1129		583	0.868	1.235	0.366		0.000	1.00	0	0		0			2024-01-26	15:56:55	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	523	1166		698	0.816	1.266	0.450		0.000	1.00	0	0		0			2024-01-26	16:07:03	
7	3		Flush																					2024-01-26	16:12:32	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	64	390		288	0.464	0.609	0.145		0.000	1.00	0	0		0			2024-01-26	16:28:21	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	241	498		296	0.600	0.700	0.100		0.000	1.00	0	0		0			2024-01-26	16:37:16	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	137	302		315	0.520	0.534	0.014		0.000	1.00	0	0		0			2024-01-26	16:46:41	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	658	2336		1270	2.300	5.644	3.344		0.042	1.00	0	0		0			2024-01-26	17:02:31	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1212	2382		1295	3.362	5.741	2.379		0.048	1.00	0	0		0			2024-01-26	17:11:23	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1218	2411		1201	3.374	5.802	2.428		0.024	1.00	0	0		0			2024-01-26	17:21:02	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3785	7580		3589	2.765	5.583	2.818		0.216	1.00	0	0		0			2024-01-26	17:39:26	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3756	7596		3570	2.747	5.595	2.848		0.214	1.00	0	0		0			2024-01-26	17:49:51	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3990	7545		3568	2.897	5.559	2.662		0.214	1.00	0	0		0			2024-01-26	18:00:59	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4630	11369		5672	5.957	14.880	8.924		0.716	1.00	0	0		0			2024-01-26	18:19:20	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5786	11363		5667	7.288	14.872	7.585		0.716	1.00	0	0		0			2024-01-26	18:29:27	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5857	11790		5787	7.370	15.416	8.046		0.735	1.00	0	0		0			2024-01-26	18:40:06	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8421	16800		8324	7.362	15.537	8.176		0.808	1.00	0	0		0			2024-01-26	18:59:24	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8614	16732		8233	7.519	15.475	7.955		0.798	1.00	0	0		0			2024-01-26	19:09:50	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8894	16709		8282	7.750	15.454	7.704		0.803	1.00	0	0		0			2024-01-26	19:21:08	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10688	21245		10686	7.179	15.231	8.052		0.835	1.00	0	0		0			2024-01-26	19:41:30	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10681	20811		10448	7.174	14.925	7.750		0.814	1.00	0	0		0			2024-01-26	19:52:42	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11221	21110		10517	7.520	15.135	7.616		0.820	1.00	0	0		0			2024-01-26	20:04:33	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4542	10884		6617	6.499	15.832	9.332		0.960	1.00	0	0		0			2024-01-26	20:22:56	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4175	10754		6458	6.030	15.648	9.618		0.932	1.00	0	0		0			2024-01-26	20:32:47	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4263	10720		6505	6.143	15.601	9.458		0.941	1.00	0	0		0			2024-01-26	20:43:29	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	4170	7000		3639	3.614	6.209	2.594		0.265	1.00	0	0		0			2024-01-26	21:01:59	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3376	7058		3637	3.005	6.258	3.253		0.264	1.00	0	0		0			2024-01-26	21:11:53	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3540	7121		3614	3.131	6.311	3.180		0.262	1.00	0	0		0			2024-01-26	21:23:00	
32	3		Flush																					2024-01-26	21:28:58	
33	9	B50 14nov23 9	TIC/TC/TNb			0.500	0.500	3199	7790		2764	2.869	6.878	4.009		0.173	1.00	0	0		0			2024-01-26	21:47:09	
34	9	B50 14nov23 9	TIC/TC/TNb			0.500	0.500	4163	7788		2734	3.609	6.877	3.268		0.170	1.00	0	0		0			2024-01-26	21:57:15	
35	9	B50 14nov23 9	TIC/TC/TNb			0.500	0.500	4048	7712		2765	3.520	6.812	3.292		0.173	1.00	0	0		0			2024-01-26	22:07:54	
36	10	B50 3oct23 0.1	TIC/TC/TNb			0.500	0.500	3700	7047		2450	3.253	6.249	2.995		0.140	1.00	0	0		0			2024-01-26	22:25:58	
37	10	B50 3oct23 0.1	TIC/TC/TNb			0.500	0.500	3727	7003		2470	3.274	6.211	2.937		0.142	1.00	0	0		0			2024-01-26	22:35:54	
38	10	B50 3oct23 0.1	TIC/TC/TNb			0.500	0.500	3703	6987		2425	3.256	6.198	2.942		0.138	1.00	0	0		0			2024-01-26	22:46:29	
39	11	B50 3oct23 9	TIC/TC/TNb			0.500	0.500	5915	9206		18288	4.952	8.078	3.125		1.797	1.00	0	0		0			2024-01-26	23:04:52	
40	11	B50 3oct23 9	TIC/TC/TNb			0.500	0.500	6748	9181		18741	5.592	8.056	2.465		1.844	1.00	0	0		0			2024-01-26	23:15:07	
41	11	B50 3oct23 9	TIC/TC/TNb			0.500	0.500	6754	9169		18805	5.597	8.046	2.450		1.851	1.00	0	0		0			2024-01-26	23:25:59	
42	12	F50 6nov23 3.8	TIC/TC/TNb			0.500	0.500	5442	8431		4194	4.590	7.421	2.831		0.323	1.00	0	0		0			2024-01-26	23:44:33	
43	12	F50 6nov23 3.8	TIC/TC/TNb			0.500	0.500	5144	8413		4192	4.361	7.406	3.045		0.322	1.00	0	0		0			2024-01-26	23:54:36	
44	12	F50 6nov23 3.8	TIC/TC/TNb			0.500	0.500	5153	8444		4237	4.368	7.432	3.064		0.327	1.00	0	0		0			2024-01-27	00:05:27	
45	13	B50 24oct23 9	TIC/TC/TNb			0.500	0.500	4350	6956		3368	3.752	6.172	2.420		0.236	1.00	0	0		0			2024-01-27	00:23:41	
46	13	B50 24oct23 9	TIC/TC/TNb			0.500	0.500	4240	6906		3433	3.668	6.129	2.461		0.243	1.00	0	0		0			2024-01-27	00:33:40	
47	13	B50 24oct23 9	TIC/TC/TNb			0.500	0.500	4222	6941		3346	3.654	6.159	2.505		0.234	1.00	0	0		0			2024-01-27	00:44:06	
48	14	F100 17oct23 0.1	TIC/TC/TNb			0.500	0.500	4814	6585		860	4.108	5.857	1.749		0.000	1.00	0	0		0			2024-01-27	01:02:34	
49	14	F100 17oct23 0.1	TIC/TC/TNb			0.500	0.500	5013	6625		880	4.261	5.891	1.630		0.000	1.00	0	0		0			2024-01-27	01:12:34	
50	14	F100 17oct23 0.1	TIC/TC/TNb			0.500	0.500	5182	6578		873	4.390	5.851	1.461		0.000	1.00	0	0		0			2024-01-27	01:23:21	
51	15	B50 3oct23 3	TIC/TC/TNb			0.500	0.500	3808	6678		2202	3.336	5.936	2.600		0.114	1.00	0	0		0			2024-01-27	01:41:35	
52	15	B50 3oct23 3	TIC/TC/TNb			0.500	0.500	3547	6701		2208	3.136	5.956	2.820		0.115	1.00	0	0		0			2024-01-27	01:51:24	
53	15	B50 3oct23 3	TIC/TC/TNb			0.500	0.500	3623	6739		2180	3.194	5.987	2.793		0.112	1.00	0	0		0			2024-01-27	02:02:01	
54	16	F50 17oct23 8	TIC/TC/TNb			0.500	0.500	6006	8462		13344	5.022	7.447	2.425		1.280	1.00	0	0		0			2024-01-27	02:20:20	
55	16	F50 17oct23 8	TIC/TC/TNb			0.500	0.500	6794	8427		13437	5.627	7.418	1.791		1.289	1.00	0	0		0			2024-01-27	02:30:28	
56	16	F50 17oct23 8	TIC/TC/TNb			0.500	0.500	6802	8461		13727	5.633	7.446	1.813		1.320	1.00	0	0		0			2024-01-27	02:41:11	
57	17	B50 6nov23 3	TIC/TC/TNb			0.500	0.500	4471	7218		2769	3.845	6.394	2.549		0.174	1.00	0	0		0			2024-01-27	02:59:23	
58	17	B50 6nov23 3	TIC/TC/TNb			0.500	0.500	3815	7199		2735	3.342	6.377	3.036		0.170	1.00	0	0		0			2024-01-27	03:09:14	
59	17	B50 6nov23 3	TIC/TC/TNb			0.500	0.500	3912	7232		2743	3.416	6.406	2.990		0.171	1.00	0	0		0			2024-01-27	03:19:44	
60	18	B50 25sep23 0.1	TIC/TC/TNb			0.500	0.500	3671	6893		2456	3.232	6.119	2.887		0.141	1.00	0	0		0			2024-01-27	03:38:07	
61	18	B50 25sep23 0.1	TIC/TC/TNb			0.500	0.500	3680	6937		2535	3.238	6.155	2.917		0.149	1.00	0	0		0			2024-01-27	03:48:04	
62	18	B50 25sep23 0.1	TIC/TC/TNb			0.500	0.500	3642	6908		2450	3.209	6.131	2.922		0.140	1.00	0	0		0			2024-01-27	03:58:32	
63	19	SPK 9	TIC/TC/TNb			0.500	0.500	6960	14492		5442	5.754	12.556	6.802		0.453	1.00	0	0		0			2024-01-27	04:17:30	
64	19	SPK 9	TIC/TC/TNb			0.500	0.500	7965	14607		5525	6.525	12.653	6.128		0.462	1.00	0	0		0			2024-01-27	04:28:09	
65	19	SPK 9	TIC/TC/TNb			0.500	0.500	7936	14545		5472	6.503	12.601	6.098		0.456	1.00	0	0		0			2024-01-27	04:39:24	
66	20	DUP 17	TIC/TC/TNb			0.500	0.500	4819	7392		2587	4.112	6.541	2.429		0.155	1.00	0	0		0			2024-01-27	04:58:12	
67	20	DUP 17	TIC/TC/TNb			0.500	0.500	4022	7430		2625	3.500	6.573	3.072		0.159	1.00	0	0		0			2024-01-27	05:08:11	
68	20	DUP 17	TIC/TC/TNb			0.500	0.500	4061	7447		2536	3.531	6.588	3.057		0.149	1.00	0	0		0			2024-01-27	05:18:58	
69	3	Water Blank	TIC/TC/TNb			0.500	0.500	1004	523		376	1.185	0.721	0.000		0.000	1.00	0	0		0			2024-01-27	05:36:06	
70	3	Water Blank	TIC/TC/TNb			0.500	0.500	217	486		303	0.581	0.690	0.109		0.000	1.00	0	0		0			2024-01-27	05:44:45	
71	3	Water Blank	TIC/TC/TNb			0.500	0.500	244	492		264	0.602	0.695	0.093		0.000	1.00	0	0		0			2024-01-27	05:54:01	
72	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	2596	10042		5890	4.011	14.643	10.632		0.833	1.00	0	0		0			2024-01-27	06:12:04	
73	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3697	10150		6073	5.418	14.795	9.377		0.865	1.00	0	0		0			2024-01-27	06:22:14	
74	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4097	10162		6080	5.930	14.813	8.882		0.867	1.00	0	0		0			2024-01-27	06:33:14	
75	3		Flush																					2024-01-27	06:39:31	
76	21	F50 17oct23 6.2	TIC/TC/TNb			0.500	0.500	5685	8877		12540	4.776	7.799	3.023		1.195	1.00	0	0		0			2024-01-27	06:57:54	
77	21	F50 17oct23 6.2	TIC/TC/TNb			0.500	0.500	7116	8878		12702	5.874	7.800	1.925		1.212	1.00	0	0		0			2024-01-27	07:08:41	
78	21	F50 17oct23 6.2	TIC/TC/TNb			0.500	0.500	7045	8869		12739	5.819	7.792	1.973		1.216	1.00	0	0		0			2024-01-27	07:19:35	
79	22	F50 24oct23 1.6	TIC/TC/TNb			0.500	0.500	5564	8417		4581	4.683	7.409	2.726		0.363	1.00	0	0		0			2024-01-27	07:38:21	
80	22	F50 24oct23 1.6	TIC/TC/TNb			0.500	0.500	5222	8470		4562	4.421	7.455	3.034		0.361	1.00	0	0		0			2024-01-27	07:48:36	
81	22	F50 24oct23 1.6	TIC/TC/TNb			0.500	0.500	5120	8462		4726	4.343	7.448	3.105		0.378	1.00	0	0		0			2024-01-27	07:59:23	
82	23	F100 31oct23 0.1	TIC/TC/TNb			0.500	0.500	5286	8118		1031	4.471	7.156	2.686		0.000	1.00	0	0		0			2024-01-27	08:17:58	
83	23	F100 31oct23 0.1	TIC/TC/TNb			0.500	0.500	5458	8147		930	4.602	7.180	2.578		0.000	1.00	0	0		0			2024-01-27	08:28:26	
84	23	F100 31oct23 0.1	TIC/TC/TNb			0.500	0.500	5415	8049		977	4.569	7.097	2.528		0.000	1.00	0	0		0			2024-01-27	08:39:15	
85	24	B50 17oct23 0.1	TIC/TC/TNb			0.500	0.500	4196	7305		2532	3.634	6.467	2.833		0.149	1.00	0	0		0			2024-01-27	08:57:46	
86	24	B50 17oct23 0.1	TIC/TC/TNb			0.500	0.500	3794	7344		2568	3.326	6.500	3.174		0.153	1.00	0	0		0			2024-01-27	09:07:37	
87	24	B50 17oct23 0.1	TIC/TC/TNb			0.500	0.500	4159	7367		2536	3.605	6.520	2.915		0.149	1.00	0	0		0			2024-01-27	09:19:48	
88	25	B50 31oct23 9	TIC/TC/TNb			0.500	0.500	3904	6961		3862	3.410	6.176	2.766		0.288	1.00	0	0		0			2024-01-27	09:37:47	
89	25	B50 31oct23 9	TIC/TC/TNb			0.500	0.500	4038	7004		3936	3.513	6.213	2.700		0.296	1.00	0	0		0			2024-01-27	09:47:47	
90	25	B50 31oct23 9	TIC/TC/TNb			0.500	0.500	4051	6930		3872	3.522	6.149	2.627		0.289	1.00	0	0		0			2024-01-27	09:58:17	
91	26	F50 17oct23 9	TIC/TC/TNb			0.500	0.500	6301	8206		14142	5.249	7.231	1.982		1.363	1.00	0	0		0			2024-01-27	10:16:43	
92	26	F50 17oct23 9	TIC/TC/TNb			0.500	0.500	6963	8241		14069	5.757	7.260	1.503		1.355	1.00	0	0		0			2024-01-27	10:27:02	
93	26	F50 17oct23 9	TIC/TC/TNb			0.500	0.500	6914	11831		14065	5.720	10.302	4.582		1.355	1.00	0	0		0		TCpe	2024-01-27	10:43:41	
94	27	B50 25sep23 9	TIC/TC/TNb			0.500	0.500	6282	8832		18609	5.234	7.761	2.527		1.830	1.00	0	0		0			2024-01-27	11:03:55	
95	27	B50 25sep23 9	TIC/TC/TNb			0.500	0.500	5794	9083		19542	4.860	7.973	3.114		1.928	1.00	0	0		0			2024-01-27	11:13:57	
96	27	B50 25sep23 9	TIC/TC/TNb			0.500	0.500	5942	8774		19549	4.974	7.712	2.738		1.929	1.00	0	0		0			2024-01-27	11:24:44	
97	28	F50 9oct23 9	TIC/TC/TNb			0.500	0.500	7833	8661		15368	6.424	7.616	1.191		1.491	1.00	0	0		0			2024-01-27	11:44:12	
98	28	F50 9oct23 9	TIC/TC/TNb			0.500	0.500	7276	8707		15568	5.997	7.655	1.658		1.512	1.00	0	0		0			2024-01-27	11:54:31	
99	28	F50 9oct23 9	TIC/TC/TNb			0.500	0.500	7596	8872		15653	6.242	7.795	1.553		1.521	1.00	0	0		0			2024-01-27	12:05:26	
100	29	F50 3oct23 6.2	TIC/TC/TNb			0.500	0.500	6496	8197		11386	5.398	7.223	1.824		1.075	1.00	0	0		0			2024-01-27	12:24:03	
101	29	F50 3oct23 6.2	TIC/TC/TNb			0.500	0.500	6423	8122		11450	5.343	7.159	1.816		1.082	1.00	0	0		0			2024-01-27	12:34:08	
102	29	F50 3oct23 6.2	TIC/TC/TNb			0.500	0.500	6399	8200		11531	5.324	7.226	1.902		1.090	1.00	0	0		0			2024-01-27	12:44:56	
103	30	F50 9oct23 8	TIC/TC/TNb			0.500	0.500	6496	8458		12636	5.398	7.444	2.045		1.206	1.00	0	0		0			2024-01-27	13:03:33	
