sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	4315	11191		5797	6.208	16.266	10.058		0.817	1.00	0	0		0		TICpe	2024-01-29	10:16:34	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	5461	11388		5927	7.674	16.544	8.870		0.840	1.00	0	0		0			2024-01-29	10:27:20	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	5366	11299		5811	7.552	16.418	8.866		0.820	1.00	0	0		0			2024-01-29	10:38:16	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2305	944		619	2.183	1.078	0.000		0.000	1.00	0	0		0			2024-01-29	10:56:23	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	487	734		504	0.788	0.900	0.112		0.000	1.00	0	0		0			2024-01-29	11:05:17	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	445	831		581	0.757	0.983	0.226		0.000	1.00	0	0		0			2024-01-29	11:15:02	
7	3		Flush																					2024-01-29	11:20:26	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	174	173		284	0.548	0.425	0.000		0.000	1.00	0	0		0			2024-01-29	11:36:05	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	147	169		248	0.527	0.421	0.000		0.000	1.00	0	0		0			2024-01-29	11:44:17	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	80	182		236	0.476	0.433	0.000		0.000	1.00	0	0		0			2024-01-29	11:53:00	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	711	2106		1336	2.400	5.158	2.758		0.059	1.00	0	0		0			2024-01-29	12:08:41	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1205	2200		1312	3.349	5.355	2.006		0.053	1.00	0	0		0			2024-01-29	12:17:37	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1184	2165		1317	3.308	5.282	1.974		0.054	1.00	0	0		0			2024-01-29	12:27:08	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3662	7116		3795	2.687	5.256	2.569		0.234	1.00	0	0		0			2024-01-29	12:45:40	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3744	7488		3721	2.739	5.518	2.779		0.228	1.00	0	0		0			2024-01-29	12:56:12	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	4092	7175		3753	2.962	5.297	2.336		0.230	1.00	0	0		0			2024-01-29	13:07:17	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4638	10987		5661	5.965	14.395	8.430		0.715	1.00	0	0		0			2024-01-29	13:25:56	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5706	11195		5774	7.195	14.658	7.463		0.733	1.00	0	0		0			2024-01-29	13:36:01	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5777	11071		5754	7.278	14.501	7.223		0.729	1.00	0	0		0			2024-01-29	13:46:47	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8279	16058		8093	7.244	14.863	7.619		0.782	1.00	0	0		0			2024-01-29	14:06:58	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8298	16018		8234	7.260	14.828	7.568		0.798	1.00	0	0		0			2024-01-29	14:18:00	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8283	16164		8314	7.248	14.960	7.712		0.807	1.00	0	0		0			2024-01-29	14:29:41	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10685	20514		10429	7.177	14.715	7.538		0.812	1.00	0	0		0			2024-01-29	14:51:11	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10654	20598		10346	7.157	14.774	7.617		0.805	1.00	0	0		0			2024-01-29	15:03:07	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10937	20619		10354	7.338	14.789	7.451		0.806	1.00	0	0		0			2024-01-29	15:15:42	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4622	10063		5523	6.601	14.673	8.072		0.769	1.00	0	0		0			2024-01-29	15:34:54	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4365	9836		5650	6.272	14.352	8.080		0.792	1.00	0	0		0			2024-01-29	15:44:29	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4340	10023		5470	6.241	14.617	8.376		0.760	1.00	0	0		0			2024-01-29	15:55:00	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	4370	6812		3264	3.767	6.050	2.282		0.225	1.00	0	0		0			2024-01-29	16:14:22	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3554	6751		3359	3.142	5.998	2.856		0.235	1.00	0	0		0			2024-01-29	16:24:53	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3498	6683		3298	3.099	5.940	2.842		0.229	1.00	0	0		0			2024-01-29	16:35:52	
32	3	Rinse	TIC/TC/TNb			0.500	0.500	1065	770		412	1.232	0.931	0.000		0.000	1.00	0	0		0			2024-01-29	16:53:36	
33	9	F50 24OCT23 9	TIC/TC/TNb			0.500	0.500	5613	8736		15773	4.721	7.679	2.958		1.534	1.00	0	0		0			2024-01-29	17:11:48	
34	9	F50 24OCT23 9	TIC/TC/TNb			0.500	0.500	7070	8812		15631	5.839	7.744	1.905		1.519	1.00	0	0		0			2024-01-29	17:22:15	
35	9	F50 24OCT23 9	TIC/TC/TNb			0.500	0.500	7178	8727		15804	5.922	7.672	1.750		1.537	1.00	0	0		0			2024-01-29	17:33:22	
36	10	F50 26SEP23 9	TIC/TC/TNb			0.500	0.500	6830	8162		14422	5.655	7.193	1.538		1.392	1.00	0	0		0			2024-01-29	17:52:23	
37	10	F50 26SEP23 9	TIC/TC/TNb			0.500	0.500	6773	8130		14706	5.611	7.166	1.555		1.422	1.00	0	0		0			2024-01-29	18:02:47	
38	10	F50 26SEP23 9	TIC/TC/TNb			0.500	0.500	6997	8162		14639	5.782	7.193	1.410		1.415	1.00	0	0		0			2024-01-29	18:13:53	
39	11	B50 9OCT23 9	TIC/TC/TNb			0.500	0.500	6411	9069		20625	5.334	7.962	2.628		2.041	1.00	0	0		0			2024-01-29	18:33:02	
40	11	B50 9OCT23 9	TIC/TC/TNb			0.500	0.500	6346	9042		20371	5.283	7.939	2.655		2.015	1.00	0	0		0			2024-01-29	18:43:32	
41	11	B50 9OCT23 9	TIC/TC/TNb			0.500	0.500	6487	9102		20590	5.391	7.990	2.599		2.037	1.00	0	0		0			2024-01-29	18:54:37	
42	12	B50 17OCT23 3	TIC/TC/TNb			0.500	0.500	4482	7095		3025	3.854	6.289	2.436		0.200	1.00	0	0		0			2024-01-29	19:13:19	
