sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	1167	7951		6317	2.183	11.691	9.508		0.908	1.00	0	0		0			2024-01-31	14:07:18	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	1190	7957		6225	2.213	11.700	9.486		0.892	1.00	0	0		0			2024-01-31	14:17:02	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	1177	8051		6324	2.197	11.832	9.636		0.909	1.00	0	0		0			2024-01-31	14:27:22	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	599	1105		1038	0.875	1.215	0.340		0.000	1.00	0	0		0			2024-01-31	14:44:34	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	210	875		994	0.576	1.020	0.444		0.000	1.00	0	0		0			2024-01-31	14:53:26	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	217	919		957	0.582	1.057	0.475		0.000	1.00	0	0		0			2024-01-31	15:02:59	
7	3		Flush																					2024-01-31	15:08:40	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	69	434		837	0.468	0.646	0.178		0.000	1.00	0	0		0			2024-01-31	15:23:59	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	77	401		812	0.474	0.618	0.144		0.000	1.00	0	0		0			2024-01-31	15:32:16	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	197	388		811	0.566	0.607	0.041		0.000	1.00	0	0		0			2024-01-31	15:41:56	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	634	2287		1341	2.253	5.540	3.287		0.061	1.00	0	0		0			2024-01-31	15:57:49	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1178	2337		1314	3.296	5.646	2.350		0.053	1.00	0	0		0			2024-01-31	16:06:50	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1282	2561		1279	3.495	6.121	2.625		0.044	1.00	0	0		0			2024-01-31	16:17:25	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3796	7366		3893	2.773	5.433	2.660		0.243	1.00	0	0		0			2024-01-31	16:36:59	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3828	7433		3861	2.793	5.480	2.686		0.240	1.00	0	0		0			2024-01-31	16:47:50	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3940	7407		3855	2.865	5.461	2.597		0.239	1.00	0	0		0			2024-01-31	16:58:39	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4701	11588		5857	6.038	15.159	9.121		0.746	1.00	0	0		0			2024-01-31	17:17:36	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	6029	11761		5910	7.568	15.379	7.811		0.754	1.00	0	0		0			2024-01-31	17:28:15	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5996	11740		5820	7.530	15.352	7.822		0.740	1.00	0	0		0			2024-01-31	17:39:31	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8529	16854		8345	7.450	15.585	8.136		0.810	1.00	0	0		0			2024-01-31	17:59:54	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8741	16986		8187	7.624	15.705	8.082		0.793	1.00	0	0		0			2024-01-31	18:11:21	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8819	17071		8208	7.688	15.782	8.095		0.795	1.00	0	0		0			2024-01-31	18:23:27	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10937	21355		10557	7.338	15.309	7.971		0.823	1.00	0	0		0			2024-01-31	18:45:51	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11115	21724		10813	7.452	15.569	8.117		0.846	1.00	0	0		0			2024-01-31	18:58:22	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11302	21755		10574	7.571	15.591	8.020		0.825	1.00	0	0		0			2024-01-31	19:11:49	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4443	10070		5374	6.373	14.683	8.310		0.743	1.00	0	0		0			2024-01-31	19:31:02	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4051	10045		5454	5.871	14.647	8.776		0.757	1.00	0	0		0			2024-01-31	19:41:17	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	4163	9935		5391	6.015	14.493	8.478		0.746	1.00	0	0		0			2024-01-31	19:52:20	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	4405	7338		3529	3.794	6.495	2.701		0.253	1.00	0	0		0			2024-01-31	20:11:52	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3730	7331		3542	3.276	6.489	3.213		0.254	1.00	0	0		0			2024-01-31	20:22:36	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3787	7317		3411	3.320	6.477	3.157		0.241	1.00	0	0		0			2024-01-31	20:33:56	
