sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	5859	13043		5065	8.183	18.881	10.698		0.690	1.00	0	0		0			2023-10-25	15:03:22	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	7383	13085		5310	10.132	18.941	8.809		0.732	1.00	0	0		0			2023-10-25	15:13:42	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	7541	13127		5407	10.334	18.999	8.665		0.749	1.00	0	0		0			2023-10-25	15:24:40	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	3285	1082		747	2.935	1.196	0.000		0.000	1.00	0	0		0			2023-10-25	15:42:39	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	590	1059		683	0.868	1.175	0.308		0.000	1.00	0	0		0			2023-10-25	15:51:50	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	617	1109		651	0.888	1.218	0.329		0.000	1.00	0	0		0			2023-10-25	16:02:05	
7	3		Flush																					2023-10-25	16:07:41	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	121	248		453	0.508	0.488	0.000		0.000	1.00	0	0		0			2023-10-25	16:22:37	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	62	264		421	0.462	0.503	0.040		0.000	1.00	0	0		0			2023-10-25	16:31:06	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	88	236		337	0.483	0.478	0.000		0.000	1.00	0	0		0			2023-10-25	16:40:05	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	633	2126		1272	2.251	5.200	2.949		0.043	1.00	0	0		0			2023-10-25	16:56:07	
12	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1185	2189		1284	3.310	5.333	2.023		0.046	1.00	0	0		0			2023-10-25	17:05:14	
13	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	1256	2199		1308	3.446	5.353	1.906		0.052	1.00	0	0		0			2023-10-25	17:14:51	
14	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3829	7456		3610	2.794	5.496	2.702		0.218	1.00	0	0		0			2023-10-25	17:34:08	
15	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3943	7460		3664	2.867	5.499	2.632		0.223	1.00	0	0		0			2023-10-25	17:44:52	
16	5	Mixed Check 3/6/0.3	TIC/TC/TNb			0.600	0.600	3965	7445		3681	2.881	5.488	2.607		0.224	1.00	0	0		0			2023-10-25	17:56:02	
17	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	4696	10978		5232	6.032	14.383	8.351		0.647	1.00	0	0		0			2023-10-25	18:14:36	
18	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5735	11036		5277	7.229	14.456	7.227		0.654	1.00	0	0		0			2023-10-25	18:24:46	
19	6	Mixed Check 9/18/0.9	TIC/TC/TNb			0.333	0.333	5850	11125		5223	7.362	14.569	7.207		0.646	1.00	0	0		0			2023-10-25	18:35:56	
20	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8338	16395		7750	7.293	15.169	7.876		0.744	1.00	0	0		0			2023-10-25	18:56:10	
21	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8521	16479		7783	7.443	15.245	7.802		0.747	1.00	0	0		0			2023-10-25	19:07:21	
22	7	Mixed Check 9/18/0.9	TIC/TC/TNb			0.467	0.467	8663	16504		7874	7.560	15.269	7.708		0.758	1.00	0	0		0			2023-10-25	19:19:03	
23	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	10969	20834		9321	7.359	14.941	7.582		0.716	1.00	0	0		0			2023-10-25	19:46:07	
24	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11026	21011		9478	7.395	15.066	7.671		0.729	1.00	0	0		0			2023-10-25	19:58:02	
25	8	Mixed Check 9/18/0.9	TIC/TC/TNb			0.600	0.600	11087	21175		9586	7.434	15.181	7.747		0.739	1.00	0	0		0			2023-10-25	20:10:54	
26	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5982	12029		5118	8.341	17.449	9.108		0.699	1.00	0	0		0			2023-10-25	20:28:55	
27	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	6338	12143		5190	8.795	17.609	8.814		0.711	1.00	0	0		0			2023-10-25	20:39:10	
28	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	6378	12166		4993	8.847	17.643	8.796		0.677	1.00	0	0		0			2023-10-25	20:50:09	
29	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	5194	6896		2933	4.400	6.121	1.721		0.191	1.00	0	0		0			2023-10-25	21:09:08	
30	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3650	6883		2981	3.215	6.110	2.895		0.196	1.00	0	0		0			2023-10-25	21:19:35	
31	2	Spiked Blank 100ml + 300uL	TIC/TC/TNb			0.500	0.500	3682	6875		2963	3.240	6.103	2.863		0.194	1.00	0	0		0			2023-10-25	21:30:39	
32	3		Flush																					2023-10-25	21:36:27	
33	9	B50 19SEP22 6	TIC/TC/TNb			0.500	0.500	5010	8740		17360	4.258	7.683	3.425		1.700	1.00	0	0		0			2023-10-25	21:54:56	
34	9	B50 19SEP22 6	TIC/TC/TNb			0.500	0.500	6324	8884		17677	5.267	7.805	2.538		1.733	1.00	0	0		0			2023-10-25	22:05:35	
35	9	B50 19SEP22 6	TIC/TC/TNb			0.500	0.500	6426	8853		17751	5.345	7.779	2.434		1.741	1.00	0	0		0			2023-10-25	22:16:52	
36	10	F50 22AUG23 9	TIC/TC/TNb			0.500	0.500	6339	7810		8541	5.278	6.895	1.617		0.777	1.00	0	0		0			2023-10-25	22:35:46	
37	10	F50 22AUG23 9	TIC/TC/TNb			0.500	0.500	6579	7978		8814	5.462	7.038	1.576		0.806	1.00	0	0		0			2023-10-25	22:46:23	
38	10	F50 22AUG23 9	TIC/TC/TNb			0.500	0.500	6494	7898		8763	5.397	6.969	1.573		0.801	1.00	0	0		0			2023-10-25	22:57:29	
39	11	F50 23MAY22 8	TIC/TC/TNb			0.500	0.500	4873	8987		3973	4.153	7.892	3.739		0.299	1.00	0	0		0			2023-10-25	23:16:21	
40	11	F50 23MAY22 8	TIC/TC/TNb			0.500	0.500	4623	8987		4003	3.961	7.893	3.931		0.303	1.00	0	0		0			2023-10-25	23:26:32	
41	11	F50 23MAY22 8	TIC/TC/TNb			0.500	0.500	4565	8995		3877	3.917	7.899	3.981		0.289	1.00	0	0		0			2023-10-25	23:37:35	
42	12	F100 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	3945	7856		1547	3.441	6.934	3.492		0.046	1.00	0	0		0			2023-10-25	23:56:14	
43	12	F100 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	3738	7959		1613	3.282	7.021	3.739		0.053	1.00	0	0		0			2023-10-26	00:06:41	
44	12	F100 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	3910	7983		1559	3.414	7.042	3.627		0.047	1.00	0	0		0			2023-10-26	00:17:44	
45	13	F50 31JUL23 1.6	TIC/TC/TNb			0.500	0.500	4219	9829		4213	3.651	8.606	4.955		0.325	1.00	0	0		0			2023-10-26	00:36:11	
46	13	F50 31JUL23 1.6	TIC/TC/TNb			0.500	0.500	4309	9901		4469	3.721	8.666	4.945		0.351	1.00	0	0		0			2023-10-26	00:46:36	
47	13	F50 31JUL23 1.6	TIC/TC/TNb			0.500	0.500	4426	9834		4240	3.810	8.610	4.800		0.327	1.00	0	0		0			2023-10-26	00:57:37	
48	14	F50 14AUG23 0.1	TIC/TC/TNb			0.500	0.500	4538	9799		3881	3.897	8.580	4.684		0.290	1.00	0	0		0			2023-10-26	01:16:17	
49	14	F50 14AUG23 0.1	TIC/TC/TNb			0.500	0.500	4618	9871		4051	3.958	8.641	4.683		0.308	1.00	0	0		0			2023-10-26	01:26:42	
50	14	F50 14AUG23 0.1	TIC/TC/TNb			0.500	0.500	4697	9796		4054	4.018	8.578	4.559		0.308	1.00	0	0		0			2023-10-26	01:37:45	
51	15	B50 22AUG23 6	TIC/TC/TNb			0.500	0.500	4708	6494		1568	4.027	5.780	1.754		0.048	1.00	0	0		0			2023-10-26	01:56:07	
52	15	B50 22AUG23 6	TIC/TC/TNb			0.500	0.500	4816	6561		1529	4.110	5.837	1.727		0.044	1.00	0	0		0			2023-10-26	02:06:26	
53	15	B50 22AUG23 6	TIC/TC/TNb			0.500	0.500	4717	6481		1515	4.034	5.769	1.735		0.042	1.00	0	0		0			2023-10-26	02:17:19	
54	16	F50 29MAY23 6.2	TIC/TC/TNb			0.500	0.500	4443	6495		2607	3.823	5.781	1.958		0.157	1.00	0	0		0			2023-10-26	02:35:49	
55	16	F50 29MAY23 6.2	TIC/TC/TNb			0.500	0.500	4547	6552		2595	3.903	5.829	1.926		0.155	1.00	0	0		0			2023-10-26	02:46:06	
56	16	F50 29MAY23 6.2	TIC/TC/TNb			0.500	0.500	4593	6552		2580	3.939	5.829	1.891		0.154	1.00	0	0		0			2023-10-26	02:57:12	
57	17	B50 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	3773	6941		2554	3.310	6.159	2.850		0.151	1.00	0	0		0			2023-10-26	03:15:35	
58	17	B50 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	3685	7053		2634	3.242	6.253	3.011		0.159	1.00	0	0		0			2023-10-26	03:25:42	
59	17	B50 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	3652	7001		2628	3.217	6.210	2.993		0.159	1.00	0	0		0			2023-10-26	03:36:33	
60	18	B50 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	2950	5841		2074	2.678	5.227	2.549		0.101	1.00	0	0		0			2023-10-26	03:54:54	
61	18	B50 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	2952	5832		2019	2.679	5.219	2.540		0.095	1.00	0	0		0			2023-10-26	04:04:59	
62	18	B50 29MAY23 0.1	TIC/TC/TNb			0.500	0.500	2940	5837		1977	2.670	5.224	2.554		0.091	1.00	0	0		0			2023-10-26	04:15:43	
63	19	SPIKE	TIC/TC/TNb			0.500	0.500	6206	14949		6784	5.176	12.943	7.767		0.593	1.00	0	0		0			2023-10-26	04:34:53	
64	19	SPIKE	TIC/TC/TNb			0.500	0.500	7299	14989		6808	6.014	12.977	6.963		0.596	1.00	0	0		0			2023-10-26	04:45:40	
65	19	SPIKE	TIC/TC/TNb			0.500	0.500	7463	15014		6737	6.140	12.998	6.857		0.589	1.00	0	0		0			2023-10-26	04:57:18	
66	20	DUP	TIC/TC/TNb			0.500	0.500	3972	6153		2149	3.462	5.491	2.029		0.109	1.00	0	0		0			2023-10-26	05:16:06	
67	20	DUP	TIC/TC/TNb			0.500	0.500	3113	6230		2139	2.803	5.557	2.753		0.108	1.00	0	0		0			2023-10-26	05:26:10	
68	20	DUP	TIC/TC/TNb			0.500	0.500	3012	6207		2103	2.726	5.537	2.811		0.104	1.00	0	0		0			2023-10-26	05:36:57	
69	3	Water Blank	TIC/TC/TNb			0.500	0.500	816	559		502	1.041	0.752	0.000		0.000	1.00	0	0		0			2023-10-26	05:53:59	
70	3	Water Blank	TIC/TC/TNb			0.500	0.500	204	533		485	0.571	0.730	0.159		0.000	1.00	0	0		0			2023-10-26	06:02:50	
71	3	Water Blank	TIC/TC/TNb			0.500	0.500	270	563		442	0.622	0.755	0.134		0.000	1.00	0	0		0			2023-10-26	06:12:27	
72	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	3957	11345		4630	5.751	16.483	10.732		0.614	1.00	0	0		0			2023-10-26	06:30:37	
73	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5709	11341		4563	7.992	16.478	8.486		0.602	1.00	0	0		0			2023-10-26	06:40:48	
74	1	Spiked tap as reference 100+1KHP	TIC/TC/TNb			0.300	0.300	5965	11452		4734	8.318	16.634	8.316		0.632	1.00	0	0		0			2023-10-26	06:51:52	
75	3		Flush																					2023-10-26	06:58:03	
76	21	B50 14AUG23 9	TIC/TC/TNb			0.500	0.500	5089	8177		8537	4.319	7.206	2.886		0.777	1.00	0	0		0			2023-10-26	07:16:54	
77	21	B50 14AUG23 9	TIC/TC/TNb			0.500	0.500	6283	8203		8637	5.235	7.228	1.993		0.787	1.00	0	0		0			2023-10-26	07:27:21	
78	21	B50 14AUG23 9	TIC/TC/TNb			0.500	0.500	6236	8295		8773	5.199	7.306	2.107		0.802	1.00	0	0		0			2023-10-26	07:38:38	
79	22	F50 12SEP23 1.6	TIC/TC/TNb			0.500	0.500	5174	9964		4453	4.384	8.720	4.336		0.350	1.00	0	0		0			2023-10-26	07:57:26	
80	22	F50 12SEP23 1.6	TIC/TC/TNb			0.500	0.500	4944	10075		4712	4.208	8.814	4.606		0.377	1.00	0	0		0			2023-10-26	08:07:50	
81	22	F50 12SEP23 1.6	TIC/TC/TNb			0.500	0.500	5106	10002		4636	4.332	8.752	4.420		0.369	1.00	0	0		0			2023-10-26	08:19:07	
82	23	F50 12SEP23 6.2	TIC/TC/TNb			0.500	0.500	6374	8431		11445	5.305	7.421	2.117		1.081	1.00	0	0		0			2023-10-26	08:37:54	
83	23	F50 12SEP23 6.2	TIC/TC/TNb			0.500	0.500	6952	8508		11622	5.748	7.486	1.738		1.100	1.00	0	0		0			2023-10-26	08:48:26	
84	23	F50 12SEP23 6.2	TIC/TC/TNb			0.500	0.500	7304	8390		11896	6.019	7.387	1.368		1.128	1.00	0	0		0		TICpe	2023-10-26	09:16:36	
