sep=	
No. 	Hole  Pos.	Name  	Method  	Coefficients  	NPOC vol. [ml]	TIC vol. [ml]	TC vol. [ml]	TIC  Area	TC  Area	NPOC  Area	TNb  Area	TIC [mg/l]	TC [mg/l]	TOC (Diff.) [mg/l]	NPOC [mg/l]	TNb [mg/l]	Dilut.  Factor	TC  Blank	TIC  Blank	NPOC  Blank	TNb  Blank	Memo  	Info  	Date	Time	
1	1	RunIn	TIC/TC/TNb			0.300	0.300	4579	11036		5905	6.546	16.046	9.500		0.836	1.00	0	0		0			2024-01-27	19:30:46	
2	1	RunIn	TIC/TC/TNb			0.300	0.300	4988	11110		5986	7.070	16.151	9.081		0.850	1.00	0	0		0			2024-01-27	19:41:02	
3	1	RunIn	TIC/TC/TNb			0.300	0.300	4968	11152		5983	7.044	16.211	9.167		0.850	1.00	0	0		0			2024-01-27	19:51:59	
4	3	Rinse	TIC/TC/TNb			0.500	0.500	2076	957		586	2.007	1.090	0.000		0.000	1.00	0	0		0			2024-01-27	20:09:24	
5	3	Rinse	TIC/TC/TNb			0.500	0.500	459	876		561	0.767	1.021	0.254		0.000	1.00	0	0		0			2024-01-27	20:18:21	
6	3	Rinse	TIC/TC/TNb			0.500	0.500	357	909		514	0.689	1.048	0.359		0.000	1.00	0	0		0			2024-01-27	20:27:51	
7	3		Flush																					2024-01-27	20:33:20	
8	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	22	186		283	0.432	0.436	0.004		0.000	1.00	0	0		0			2024-01-27	20:48:08	
9	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	89	169		295	0.483	0.421	0.000		0.000	1.00	0	0		0			2024-01-27	20:56:15	
10	3	Type I Reagent Grade Water	TIC/TC/TNb			0.500	0.500	39	164		310	0.445	0.417	0.000		0.000	1.00	0	0		0			2024-01-27	21:04:57	
11	4	Mixed Check 3/6/0.3	TIC/TC/TNb			0.200	0.200	619	1862		893	2.225	4.640	2.415		0.000	1.00	0	0		0			2024-01-27	21:20:40	
