attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical				
Site	Sampling site within each reservoir (see site_descriptions.csv file included in this data package)	numeric	dimensionless			
DateTime	"Date and time of sampling. All data were collected in the eastern time zone of the U.S.A., with daylight savings time observed"	Date		YYYY-MM-DD hh:mm:ss		
Depth_m	Water depth where the sensor reading was measured; negative values indicate height above the water’s surface 	numeric	meter		NA	No data
SN	CTD serial number (see Methods)	categorical				
Temp_C	Water temperature	numeric	celsius		NA	No data
DO_mgL	Dissolved oxygen (DO) concentration	numeric	milligramsPerLiter		NA	No data
DOsat_percent	Dissolved oxygen (DO) percent saturation	numeric	percent		NA	No data
Cond_uScm	Conductivity	numeric	microSiemenPerCentimeter		NA	No data
SpCond_uScm	Specific conductance; conductivity normalized to 25 degrees celsius	numeric	microSiemenPerCentimeter		NA	No data
Chla_ugL	Chlorophyll a	numeric	microgramsPerLiter		NA	No data
Turbidity_NTU	Turbidity	numeric	dimensionless		NA	No data
pH	Water pH	numeric	dimensionless		NA	No data
ORP_mV	Reduction potential	numeric	millivolt		NA	No data
PAR_umolm2s	Photosynthetically active radiation	numeric	micromolePerMeterSquaredPerSecond		NA	No data
CDOM_ugL	Colored dissolved organic matter	numeric	microgramsPerLiter		NA	No data
Phycoerythrin_ugL	Phycoerythrin	numeric	microgramsPerLiter		NA	No data
Phycocyanin_ugL	Phycocyanin	numeric	microgramsPerLiter		NA	No data
DescRate_ms	Descent rate	numeric	metersPerSecond		NA	No data
Flag_DateTime	Data flag for date time	categorical				
Flag_Temp_C	Data flag for temperature	categorical				
Flag_DO_mgL	Data flag for dissolved oxygen (DO) concentration	categorical				
Flag_DOsat_percent	Data flag for dissolved oxygen (DO) saturation	categorical				
Flag_Cond_uScm	Data flag for conductivity	categorical				
Flag_SpCond_uScm	Data flag for specific conductivity	categorical				
Flag_Chla_ugL	Data flag for chlorophyll a	categorical				
Flag_Turbidity_NTU	Data flag for turbidity	categorical				
Flag_pH	Data flag for pH	categorical				
Flag_ORP_mV	Data flag for ORP	categorical				
Flag_PAR_umolm2s	Data flag for photosynthetically active radiation (PAR)	categorical				
Flag_CDOM_ugL	Data flag for CDOM	categorical				
Flag_Phycoerythrin_ugL	Data flag for Phycoerythrin	categorical				
Flag_Phycocyanin_ugL	Data flag for Phycocyanin	categorical				
Flag_DescRate_ms	Data flag for descent rate	categorical				
