DateTime,Depth_m,Temp_C,Chla_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,pH,ORP_mV,PAR,Salinity,DescRate_ms ,Flag
2024-02-27T14:21:00Z,-0.101,7.57,9.0844,7.338,42.984111,66.052,11.6745,97.531,7.035,276.5279,120.63,5.569318549490815,0.017,0
2024-02-27T14:21:00Z,-0.1,7.5639,8.9629,7.2909,43.573147,66.992,11.6736,97.553,7.013,277.0106,120.49,5.655280798824199,0.023,0
2024-02-27T14:21:00Z,-0.096,7.5589,8.727,7.2543,42.837734,65.869,11.6822,97.632,6.995,276.5666,118.83,5.554558377750582,0.027,0
2024-02-27T14:21:00Z,-0.085,7.5578,8.5875,7.3053,42.02661,64.615,11.6792,97.722,6.983,275.8913,114.56,5.441524859626891,0.031,0
2024-02-27T14:21:00Z,-0.071,7.5398,8.5752,7.3608,42.652323,65.595,11.6764,97.783,6.972,275.8139,111.89,5.5328389401487446,0.037,0
2024-02-27T14:21:00Z,-0.062,7.5109,8.5781,7.3108,43.928598,67.595,11.6883,97.868,6.962,277.3522,110.75,5.718550550820304,0.042,0
2024-02-27T14:21:00Z,-0.057,7.5115,8.6646,7.2128,44.064561,67.816,11.6984,97.997,6.958,278.5727,108.85,5.738493455508281,0.043,0
2024-02-27T14:21:00Z,-0.045,7.5265,8.8381,7.0983,43.090392,66.309,11.7106,98.133,6.958,278.2686,106.4,5.599527818836264,0.041,0
2024-02-27T14:21:00Z,-0.026,7.5177,8.9281,7.0534,42.433128,65.307,11.714,98.263,6.96,277.4606,105.07,5.510312580624728,0.041,0
2024-02-27T14:21:00Z,-0.014,7.4849,8.9199,7.0806,43.099819,66.36,11.7331,98.38,6.959,277.1494,104.55,5.610844765929979,0.044,0
2024-02-27T14:21:00Z,-0.01,7.4811,8.8889,7.0509,43.915115,67.616,11.7534,98.492,6.957,277.4314,103.74,5.725353824472074,0.045,0
2024-02-27T14:21:00Z,-0.004,7.4968,8.853,6.9337,43.594689,67.08,11.7636,98.626,6.957,277.8579,101.46,5.674163858588942,0.042,0
2024-02-27T14:21:00Z,0.011,7.4895,8.827,6.791,42.272545,65.006,11.7832,98.784,6.958,278.1768,98.318,5.487554542089781,0.039,0
2024-02-27T14:21:00Z,0.029,7.4682,8.7995,6.725,40.87775,62.865,11.8025,98.93,6.96,278.5342,96.786,5.2974652571203364,0.042,0
2024-02-27T14:21:00Z,0.039,7.4597,8.7702,6.8203,41.20174,63.408,11.817,99.05,6.96,277.8769,96.511,5.34778238326905,0.051,0
2024-02-27T14:21:00Z,0.042,7.4948,8.7551,7.0212,42.635378,65.655,11.8218,99.166,6.956,276.2515,96.01,5.545418610460409,0.059,0
2024-02-27T14:21:00Z,0.05,7.5231,8.7586,7.1037,42.788178,65.871,11.8359,99.311,6.952,275.6599,93.561,5.5604420346849635,0.061,0
2024-02-27T14:21:00Z,0.074,7.5181,8.7631,7.0317,41.843548,64.354,11.855,99.467,6.951,276.3164,89.169,5.424154978770291,0.061,0
2024-02-27T14:21:00Z,0.106,7.4903,8.7761,6.9704,41.496615,63.776,11.877,99.617,6.95,277.3924,85.956,5.376286498954188,0.062,0
2024-02-27T14:21:00Z,0.126,7.4519,8.7993,6.9096,42.084405,64.675,11.899,99.779,6.944,276.8824,85.028,5.463524189297931,0.061,0
2024-02-27T14:21:00Z,0.132,7.4672,8.811,6.8431,42.539843,65.369,11.9135,99.946,6.936,274.7962,84.558,5.523917954631087,0.055,0
2024-02-27T14:21:00Z,0.138,7.5163,8.8259,6.8154,42.242918,64.872,11.9202,100.104,6.933,273.9359,83.61,5.4712106168992625,0.044,0
2024-02-27T14:21:00Z,0.15,7.541,8.8451,6.7795,41.287136,63.362,11.9276,100.243,6.934,274.9134,82.353,5.331145151964963,0.038,0
2024-02-27T14:21:00Z,0.163,7.5334,8.8607,6.7843,40.631026,62.362,11.9507,100.36,6.932,276.3757,81.551,5.242251946213178,0.043,0
2024-02-27T14:21:00Z,0.168,7.5247,8.8732,6.8394,38.879596,59.718,11.9741,100.427,6.927,276.817,81.277,5.005986280177023,0.053,0
2024-02-27T14:21:00Z,0.173,7.5575,8.8799,6.8655,33.75252,51.901,11.9825,100.214,6.922,276.3779,80.002,4.304798788755536,0.059,0
2024-02-27T14:21:00Z,0.192,7.591,8.875,6.8265,29.083261,44.815,11.9924,99.633,6.922,276.0571,76.973,3.6772647240594774,0.059,0
2024-02-27T14:21:00Z,0.222,7.5843,8.8302,6.744,27.851291,43.046,12.003,99.049,6.925,276.2931,74.301,3.5234896094910333,0.059,0
2024-02-27T14:21:00Z,0.245,7.549,8.771,6.7556,28.055061,43.471,12.0352,98.672,6.929,276.9953,73.434,3.5641623066199166,0.064,0
2024-02-27T14:21:00Z,0.253,7.5187,8.758,6.8651,28.312146,43.935,12.034,98.37,6.929,277.6634,73.281,3.607841347269007,0.075,0
