"Reservoir","Site","DateTime","Depth_m","Rep","CH4_umolL","CO2_umolL","Flag_DateTime","Flag_CH4_umolL","Flag_CO2_umolL"
"FCR",100,2023-02-03 10:20:00,0.1,1,NA,NA,0,1,1
"FCR",100,2023-02-03 10:20:00,0.1,2,NA,NA,0,1,1
"FCR",50,2023-02-03 12:30:00,0.1,1,NA,NA,0,1,1
"FCR",50,2023-02-03 12:30:00,0.1,2,NA,NA,0,1,1
"FCR",50,2023-02-03 12:37:00,1.6,1,NA,NA,0,1,1
"FCR",50,2023-02-03 12:37:00,1.6,2,NA,NA,0,1,1
"FCR",50,2023-02-03 12:43:00,3.8,1,NA,NA,0,1,1
"FCR",50,2023-02-03 12:43:00,3.8,2,NA,NA,0,1,1
"FCR",50,2023-02-03 12:48:00,5,1,NA,NA,0,1,1
"FCR",50,2023-02-03 12:48:00,5,2,NA,NA,0,1,1
"FCR",50,2023-02-03 12:53:00,6.2,1,NA,NA,0,1,1
"FCR",50,2023-02-03 12:53:00,6.2,2,NA,NA,0,1,1
"FCR",50,2023-02-03 12:58:00,8,1,NA,NA,0,1,1
"FCR",50,2023-02-03 12:58:00,8,2,NA,NA,0,1,1
"FCR",50,2023-02-03 13:02:00,9,1,NA,NA,0,1,1
"FCR",50,2023-02-03 13:02:00,9,2,NA,NA,0,1,1
"BVR",50,2023-03-21 10:55:00,0.1,1,0.0493581851069809,20.2585063974554,0,0,0
"BVR",50,2023-03-21 10:55:00,0.1,2,0.0404864272784341,24.0214789098934,0,0,0
"BVR",50,2023-03-21 11:35:00,3,1,0.0361434210928867,19.5663209363568,0,0,0
"BVR",50,2023-03-21 11:35:00,3,2,0.0330631415249416,23.2004571049168,0,0,0
"BVR",50,2023-03-21 11:46:00,6,1,0.0407219151547663,20.2846211693218,0,0,0
"BVR",50,2023-03-21 11:46:00,6,2,0.0459466710994842,22.4768510868333,0,0,0
"BVR",50,2023-03-21 11:58:00,9,1,0.0775898486697067,29.8875004060077,0,0,0
"BVR",50,2023-03-21 11:58:00,9,2,0.105748096197425,25.8575829047272,0,0,0
"FCR",50,2023-04-04 10:53:00,0.1,1,0.237541066947593,35.9850969849372,0,0,0
"FCR",50,2023-04-04 10:53:00,0.1,2,0.245716597219231,41.6498051040748,0,0,0
"FCR",50,2023-04-04 11:03:00,1.6,1,0.253070657582277,41.0248856632438,0,0,0
"FCR",50,2023-04-04 11:03:00,1.6,2,0.281572973548061,34.1673058594188,0,0,0
"FCR",50,2023-04-04 11:13:00,3.8,1,0.119258810328201,50.215481020621,0,0,0
"FCR",50,2023-04-04 11:13:00,3.8,2,0.1541683046591,48.2734951010961,0,0,0
"FCR",50,2023-04-04 11:27:00,5,1,0.174683978731808,59.3739822484107,0,0,0
"FCR",50,2023-04-04 11:27:00,5,2,0.213883397151336,68.8136299391665,0,0,0
"FCR",50,2023-04-04 11:39:00,6.2,1,0.0678103691849739,95.4833754723506,0,0,0
"FCR",50,2023-04-04 11:39:00,6.2,2,0.0631187911544287,90.2831298371393,0,0,0
"FCR",50,2023-04-04 11:43:00,8,1,0.0534754222152348,95.4402144308482,0,0,0
"FCR",50,2023-04-04 11:43:00,8,2,0.0515686199734049,102.343029813341,0,0,0
"FCR",50,2023-04-04 11:50:00,9,1,0.0656234954639838,89.9923444087106,0,0,0
"FCR",50,2023-04-04 11:50:00,9,2,0.0783777681129925,87.0877206498924,0,0,0
"FCR",1.1,2023-04-04 12:00:00,0.1,1,1.5246046526745,532.655926110524,0,0,0
"FCR",1.1,2023-04-04 12:00:00,0.1,2,1.65375835255072,526.90413198135,0,0,0
"FCR",100,2023-04-04 13:20:00,0.1,1,0.12033202293167,54.7631851062675,0,0,0
"FCR",100,2023-04-04 13:20:00,0.1,2,0.118854391234774,46.1575580084989,0,0,0
"FCR",100,2023-04-04 13:39:00,0.1,1,2.19446067862118,99.9471429978392,0,0,0
"FCR",100,2023-04-04 13:39:00,0.1,2,2.22107901737254,98.3847466210802,0,0,0
"BVR",50,2023-04-12 11:30:00,0.1,1,0.0885894137293937,12.8465548712324,0,0,0
"BVR",50,2023-04-12 11:30:00,0.1,2,0.0803266331847808,16.1099964631369,0,0,0
"BVR",50,2023-04-12 11:48:00,3,1,0.103843302786957,14.3620281008031,0,0,0
"BVR",50,2023-04-12 11:48:00,3,2,0.085966051389223,10.5480448315417,0,0,0
"BVR",1.3,2023-04-12 12:00:00,0.1,1,1.63802948186312,14.2580038278641,1,0,0
"BVR",1.1,2023-04-12 12:00:00,0.1,1,0.0114603028781211,105.771292914466,1,0,0
"BVR",1.3,2023-04-12 12:00:00,0.1,2,1.70193516251521,10.6327466885079,1,0,0
"BVR",1.1,2023-04-12 12:00:00,0.1,2,0.0125414815391985,107.571305508726,1,0,0
"BVR",50,2023-04-12 12:06:00,6,1,0.157724698415327,34.2762421973586,0,0,0
"BVR",50,2023-04-12 12:06:00,6,2,0.175196037255483,38.8451906368376,0,0,0
"BVR",50,2023-04-12 12:23:00,9,1,0.767847443870891,127.96571584525,0,0,0
"BVR",50,2023-04-12 12:23:00,9,2,0.79814415634129,123.48229451516,0,0,0
"FCR",50,2023-04-18 10:04:00,0.1,1,0.750824311026677,36.4285357383017,0,0,0
"FCR",50,2023-04-18 10:04:00,0.1,2,0.844343812366501,33.4378898101615,0,0,0
"FCR",50,2023-04-18 10:27:00,1.6,1,0.580538405767579,40.3480852844455,0,0,0
"FCR",50,2023-04-18 10:27:00,1.6,2,0.61193134926288,31.3940094048983,0,0,0
