"com_date","miss","field_date","lab_date","upper_date","field_vial_number","lab_vial_number"
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,301,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,369,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,252,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,366,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,88,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,394,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,203,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,383,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,128,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,300,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,96,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,326,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,302,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,362,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,148,NA
2023-02-03,"no_lab_obs",2023-02-03,NA,2023-02-07,183,NA
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"183"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"148"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"326"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"128"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"366"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"301"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"369"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"88"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"203"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"302"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"96"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"300"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"252"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"383"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"394"
2023-03-22,"no_field_obs",NA,2023-03-22,NA,NA,"362"
2023-07-11,"no_field_obs",NA,2023-07-11,NA,NA,"41"
2023-08-07,"no_lab_obs",2023-08-07,NA,2023-08-11,135,NA
2023-08-14,"no_lab_obs",2023-08-14,NA,2023-08-18,21,NA
2023-08-14,"no_lab_obs",2023-08-14,NA,2023-08-18,245,NA
2023-10-03,"no_lab_obs",2023-10-03,NA,2023-10-07,412,NA
2024-01-29,"no_lab_obs",2024-01-29,NA,2024-02-02,305,NA
2024-02-13,"no_lab_obs",2024-02-13,NA,2024-02-17,82,NA
2024-02-27,"no_lab_obs",2024-02-27,NA,2024-03-02,408,NA
2024-02-28,"no_field_obs",NA,2024-02-28,NA,NA,"406"
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,193,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,415,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,206,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,203,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,196,NA
