Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
1/29/2024 3:00:42 PM	10.37	0.00	5.58	0.00	0.00	0.00	0.00	0.38	15.95	100.00	0.01	6.90	5499	0	2510	0	0	0	0	0	8008	180.20	20.76	5.25	15.58	28.00	16.94	60.86	1.00	18.91	21.89
1/29/2024 3:00:45 PM	10.14	0.00	5.73	0.00	0.00	0.00	0.00	0.58	15.87	100.00	0.04	6.73	5373	0	2578	0	0	0	0	0	7952	178.46	21.55	4.28	15.30	29.85	16.78	62.69	1.00	18.91	21.84
1/29/2024 3:00:47 PM	10.49	0.00	5.60	0.00	0.00	0.00	0.00	0.60	16.09	100.00	0.08	7.10	5560	0	2521	0	0	0	0	0	8080	179.76	21.52	4.10	15.50	30.29	16.66	63.53	1.01	18.93	21.89
1/29/2024 3:00:49 PM	11.15	0.00	5.23	0.00	0.00	0.00	0.00	0.49	16.39	100.00	0.12	7.67	5912	0	2356	0	0	0	0	0	8267	179.27	20.65	3.97	15.19	29.25	16.23	63.51	1.01	18.95	21.86
1/29/2024 3:00:52 PM	12.15	0.00	4.90	0.00	0.00	0.00	0.00	0.45	17.05	100.00	0.13	8.05	6439	0	2203	0	0	0	0	0	8642	178.81	20.34	4.49	16.00	29.84	17.29	64.47	1.01	18.96	21.88
1/29/2024 3:00:54 PM	11.16	0.00	5.00	0.00	0.00	0.00	0.00	0.66	16.16	100.00	0.20	7.40	5913	0	2252	0	0	0	0	0	8165	178.36	20.76	4.16	16.10	31.16	17.49	62.97	1.02	18.96	21.89
1/29/2024 3:00:57 PM	11.01	0.00	5.67	0.00	0.00	0.00	0.00	0.55	16.68	100.00	0.21	6.20	5834	0	2550	0	0	0	0	0	8385	179.09	21.80	4.89	16.24	30.61	16.68	65.09	1.02	18.96	21.89
1/29/2024 3:00:59 PM	10.40	0.00	5.62	0.00	0.00	0.00	0.00	0.70	16.01	100.00	0.23	6.17	5511	0	2527	0	0	0	0	0	8038	178.97	21.81	4.99	16.11	31.56	17.53	63.50	1.02	18.97	21.88
1/29/2024 3:01:01 PM	11.09	0.00	5.98	0.00	0.00	0.00	0.00	0.51	17.07	100.00	0.27	6.31	5879	0	2689	0	0	0	0	0	8568	178.35	22.56	4.38	16.59	30.92	17.76	66.16	1.03	18.96	21.90
