Reservoir,Site,Source,DateTime,Obs_waterlevel_from_full_pond_ft,WaterLevel_m,Flag_DateTime,Flag_Obs_waterlevel_from_full_pond_ft
BVR,50,WVWA,2009-09-01 12:00:00,0,13,1,0
BVR,50,WVWA,2009-10-08 12:00:00,0,13,1,0
BVR,50,WVWA,2009-11-23 12:00:00,0,13,1,0
BVR,50,WVWA,2009-12-29 12:00:00,0,13,1,0
BVR,50,WVWA,2010-01-28 12:00:00,0,13,1,0
BVR,50,WVWA,2010-02-27 12:00:00,0,13,1,0
BVR,50,WVWA,2010-03-17 12:00:00,0,13,1,0
BVR,50,WVWA,2010-04-22 12:00:00,0,13,1,0
BVR,50,WVWA,2010-05-14 12:00:00,0,13,1,0
BVR,50,WVWA,2010-06-12 12:00:00,0,13,1,0
BVR,50,WVWA,2010-07-20 12:00:00,-1.2,12.63,1,0
BVR,50,WVWA,2010-08-10 12:00:00,-2.4,12.27,1,0
BVR,50,WVWA,2010-09-28 12:00:00,-8.2,10.5,1,0
BVR,50,WVWA,2010-10-29 12:00:00,-9.2,10.2,1,0
BVR,50,WVWA,2010-11-22 12:00:00,-10,9.95,1,0
BVR,50,WVWA,2010-12-16 12:00:00,-9.8,10.01,1,0
BVR,50,WVWA,2011-01-22 12:00:00,-9,10.26,1,0
BVR,50,WVWA,2011-02-16 12:00:00,-7.8,10.62,1,0
BVR,50,WVWA,2011-03-25 12:00:00,-4.8,11.54,1,0
BVR,50,WVWA,2011-04-22 12:00:00,-0.8,12.76,1,0
BVR,50,WVWA,2011-05-20 12:00:00,0,13,1,0
BVR,50,WVWA,2011-05-26 12:00:00,0,13,1,0
BVR,50,WVWA,2011-06-07 12:00:00,0,13,1,0
BVR,50,WVWA,2011-06-16 12:00:00,-0.2,12.94,1,0
BVR,50,WVWA,2011-06-24 12:00:00,-0.4,12.88,1,0
BVR,50,WVWA,2011-07-01 12:00:00,-0.8,12.76,1,0
BVR,50,WVWA,2011-07-14 12:00:00,-0.6,12.82,1,0
BVR,50,WVWA,2011-07-25 12:00:00,-0.9,12.73,1,0
BVR,50,WVWA,2011-08-01 12:00:00,-1.2,12.63,1,0
BVR,50,WVWA,2011-08-10 12:00:00,-2,12.39,1,0
BVR,50,WVWA,2011-08-23 12:00:00,-2.6,12.21,1,0
BVR,50,WVWA,2011-08-31 12:00:00,-3,12.09,1,0
BVR,50,WVWA,2011-09-08 12:00:00,-2,12.39,1,0
BVR,50,WVWA,2011-09-26 12:00:00,-2.8,12.15,1,0
BVR,50,WVWA,2011-10-04 12:00:00,-4.2,11.72,1,0
BVR,50,WVWA,2011-10-13 12:00:00,-4.4,11.66,1,0
BVR,50,WVWA,2011-10-20 12:00:00,-5.2,11.42,1,0
BVR,50,WVWA,2011-10-27 12:00:00,-6.2,11.11,1,0
BVR,50,WVWA,2011-11-28 12:00:00,-4.8,11.54,1,0
BVR,50,WVWA,2011-12-08 12:00:00,-4.2,11.72,1,0
BVR,50,WVWA,2011-12-15 12:00:00,-2.7,12.18,1,0
BVR,50,WVWA,2011-12-29 12:00:00,-1.9,12.42,1,0
BVR,50,WVWA,2012-01-12 12:00:00,-1.4,12.57,1,0
BVR,50,WVWA,2012-01-30 12:00:00,-0.7,12.79,1,0
BVR,50,WVWA,2012-02-08 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-02-17 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-02-24 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-03-02 12:00:00,0.3,13.09,1,0
BVR,50,WVWA,2012-03-09 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-03-16 12:00:00,0.3,13.09,1,0
BVR,50,WVWA,2012-03-23 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-03-30 12:00:00,0.3,13.09,1,0
BVR,50,WVWA,2012-04-17 12:00:00,0.3,13.09,1,0
BVR,50,WVWA,2012-05-04 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-05-11 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-05-19 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-05-24 12:00:00,0.2,13.06,1,0
BVR,50,WVWA,2012-06-01 12:00:00,-0.1,12.97,1,0
BVR,50,WVWA,2012-06-08 12:00:00,-0.3,12.91,1,0
BVR,50,WVWA,2012-06-19 12:00:00,-0.4,12.88,1,0
BVR,50,WVWA,2012-06-28 12:00:00,-0.8,12.76,1,0
BVR,50,WVWA,2012-07-12 12:00:00,-1.3,12.6,1,0
BVR,50,WVWA,2012-07-24 12:00:00,-1.5,12.54,1,0
BVR,50,WVWA,2012-08-01 12:00:00,-1.8,12.45,1,0
BVR,50,WVWA,2012-08-14 12:00:00,-2.5,12.24,1,0
BVR,50,WVWA,2012-08-28 12:00:00,-2.8,12.15,1,0
BVR,50,WVWA,2012-09-10 12:00:00,-3.8,11.84,1,0
BVR,50,WVWA,2012-09-20 12:00:00,-4,11.78,1,0
